T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
8,1,2000,1000,-12.0,0.3,0,2,8.7
8,1,2000,1000,-12.0,0.3,0,3,48.7
8,1,2000,1000,-12.0,0.3,0,4,16.9
8,1,2000,1000,-12.0,0.3,0,5,5.7
8,1,2000,1000,-12.0,0.3,0,6,3.7
8,1,2000,1000,-12.0,0.3,0,7,2.6
8,1,2000,1000,-12.0,0.3,0,8,2.5
8,1,2000,1000,-12.0,0.3,0,9,3.0
8,1,2000,1000,-12.0,0.3,0,10,8.2
8,1,2000,1000,-12.0,0.3,1,2,7.5
8,1,2000,1000,-12.0,0.3,1,3,12.3
8,1,2000,1000,-12.0,0.3,1,4,10.3
8,1,2000,1000,-12.0,0.3,1,5,9.6
8,1,2000,1000,-12.0,0.3,1,6,6.7
8,1,2000,1000,-12.0,0.3,1,7,4.9
8,1,2000,1000,-12.0,0.3,1,8,2.8
8,1,2000,1000,-12.0,0.3,1,9,1.5
8,1,2000,1000,-12.0,0.3,1,10,44.4
8,1,2000,1000,-12.0,0.3,2,1,1.4
8,1,2000,1000,-12.0,0.3,2,2,16.1
8,1,2000,1000,-12.0,0.3,2,3,23.0
8,1,2000,1000,-12.0,0.3,2,4,13.8
8,1,2000,1000,-12.0,0.3,2,5,9.2
8,1,2000,1000,-12.0,0.3,2,6,5.1
8,1,2000,1000,-12.0,0.3,2,7,3.9
8,1,2000,1000,-12.0,0.3,2,8,2.3
8,1,2000,1000,-12.0,0.3,2,9,1.7
8,1,2000,1000,-12.0,0.3,2,10,23.5
8,1,2000,1000,-12.0,0.3,3,1,6.4
8,1,2000,1000,-12.0,0.3,3,2,14.0
8,1,2000,1000,-12.0,0.3,3,3,15.0
8,1,2000,1000,-12.0,0.3,3,4,10.7
8,1,2000,1000,-12.0,0.3,3,5,6.9
8,1,2000,1000,-12.0,0.3,3,6,4.8
8,1,2000,1000,-12.0,0.3,3,7,2.3
8,1,2000,1000,-12.0,0.3,3,8,2.3
8,1,2000,1000,-12.0,0.3,3,9,1.6
8,1,2000,1000,-12.0,0.3,3,10,36.0
8,1,2000,1000,-12.0,0.3,4,1,14.8
8,1,2000,1000,-12.0,0.3,4,2,10.9
8,1,2000,1000,-12.0,0.3,4,3,9.0
8,1,2000,1000,-12.0,0.3,4,4,7.4
8,1,2000,1000,-12.0,0.3,4,5,7.1
8,1,2000,1000,-12.0,0.3,4,6,4.1
8,1,2000,1000,-12.0,0.3,4,7,2.5
8,1,2000,1000,-12.0,0.3,4,8,1.3
8,1,2000,1000,-12.0,0.3,4,9,0.8
8,1,2000,1000,-12.0,0.3,4,10,42.1
8,1,2000,1000,-12.0,0.3,5,1,15.1
8,1,2000,1000,-12.0,0.3,5,2,12.2
8,1,2000,1000,-12.0,0.3,5,3,12.2
8,1,2000,1000,-12.0,0.3,5,4,7.8
8,1,2000,1000,-12.0,0.3,5,5,7.6
8,1,2000,1000,-12.0,0.3,5,6,3.8
8,1,2000,1000,-12.0,0.3,5,7,2.7
8,1,2000,1000,-12.0,0.3,5,8,1.2
8,1,2000,1000,-12.0,0.3,5,9,0.8
8,1,2000,1000,-12.0,0.3,5,10,36.6
8,1,2000,1000,-12.0,0.3,6,1,15.8
8,1,2000,1000,-12.0,0.3,6,2,12.0
8,1,2000,1000,-12.0,0.3,6,3,13.6
8,1,2000,1000,-12.0,0.3,6,4,9.2
8,1,2000,1000,-12.0,0.3,6,5,8.2
8,1,2000,1000,-12.0,0.3,6,6,4.7
8,1,2000,1000,-12.0,0.3,6,7,3.1
8,1,2000,1000,-12.0,0.3,6,8,2.3
8,1,2000,1000,-12.0,0.3,6,9,1.8
8,1,2000,1000,-12.0,0.3,6,10,29.3
8,1,2000,1000,-12.0,0.3,7,1,19.7
8,1,2000,1000,-12.0,0.3,7,2,16.8
8,1,2000,1000,-12.0,0.3,7,3,11.0
8,1,2000,1000,-12.0,0.3,7,4,5.7
8,1,2000,1000,-12.0,0.3,7,5,6.0
8,1,2000,1000,-12.0,0.3,7,6,4.2
8,1,2000,1000,-12.0,0.3,7,7,2.5
8,1,2000,1000,-12.0,0.3,7,8,1.8
8,1,2000,1000,-12.0,0.3,7,9,1.5
8,1,2000,1000,-12.0,0.3,7,10,30.8
8,2,2000,1000,-12.0,0.3,0,2,2.9
8,2,2000,1000,-12.0,0.3,0,3,56.1
8,2,2000,1000,-12.0,0.3,0,4,13.0
8,2,2000,1000,-12.0,0.3,0,5,4.7
8,2,2000,1000,-12.0,0.3,0,6,2.6
8,2,2000,1000,-12.0,0.3,0,7,2.5
8,2,2000,1000,-12.0,0.3,0,8,3.1
8,2,2000,1000,-12.0,0.3,0,9,4.2
8,2,2000,1000,-12.0,0.3,0,10,10.9
8,2,2000,1000,-12.0,0.3,1,2,1.3
8,2,2000,1000,-12.0,0.3,1,3,10.8
8,2,2000,1000,-12.0,0.3,1,4,16.4
8,2,2000,1000,-12.0,0.3,1,5,10.6
8,2,2000,1000,-12.0,0.3,1,6,7.0
8,2,2000,1000,-12.0,0.3,1,7,4.2
8,2,2000,1000,-12.0,0.3,1,8,2.8
8,2,2000,1000,-12.0,0.3,1,9,1.7
8,2,2000,1000,-12.0,0.3,1,10,45.2
8,2,2000,1000,-12.0,0.3,2,1,2.7
8,2,2000,1000,-12.0,0.3,2,2,17.1
8,2,2000,1000,-12.0,0.3,2,3,20.7
8,2,2000,1000,-12.0,0.3,2,4,11.3
8,2,2000,1000,-12.0,0.3,2,5,8.5
8,2,2000,1000,-12.0,0.3,2,6,6.0
8,2,2000,1000,-12.0,0.3,2,7,3.0
8,2,2000,1000,-12.0,0.3,2,8,3.4
8,2,2000,1000,-12.0,0.3,2,9,1.4
8,2,2000,1000,-12.0,0.3,2,10,25.9
8,2,2000,1000,-12.0,0.3,3,1,7.3
8,2,2000,1000,-12.0,0.3,3,2,13.0
8,2,2000,1000,-12.0,0.3,3,3,13.8
8,2,2000,1000,-12.0,0.3,3,4,10.1
8,2,2000,1000,-12.0,0.3,3,5,6.1
8,2,2000,1000,-12.0,0.3,3,6,3.5
8,2,2000,1000,-12.0,0.3,3,7,3.6
8,2,2000,1000,-12.0,0.3,3,8,1.6
8,2,2000,1000,-12.0,0.3,3,9,1.1
8,2,2000,1000,-12.0,0.3,3,10,39.9
8,2,2000,1000,-12.0,0.3,4,1,14.1
8,2,2000,1000,-12.0,0.3,4,2,11.3
8,2,2000,1000,-12.0,0.3,4,3,8.1
8,2,2000,1000,-12.0,0.3,4,4,6.3
8,2,2000,1000,-12.0,0.3,4,5,4.6
8,2,2000,1000,-12.0,0.3,4,6,3.0
8,2,2000,1000,-12.0,0.3,4,7,2.4
8,2,2000,1000,-12.0,0.3,4,8,1.4
8,2,2000,1000,-12.0,0.3,4,9,0.7
8,2,2000,1000,-12.0,0.3,4,10,48.1
8,2,2000,1000,-12.0,0.3,5,1,17.7
8,2,2000,1000,-12.0,0.3,5,2,16.0
8,2,2000,1000,-12.0,0.3,5,3,11.6
8,2,2000,1000,-12.0,0.3,5,4,9.9
