T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_q_range,median_q_range,sd_q_range,mean_top2_gap,median_top2_gap,sd_top2_gap,mean_q_max,mean_q_min,mean_q_sd_across_treatments
8,1,2000,1000,-12.0,0.3,0,1.5073932875618048,1.1758074696180894,0.8863850906452097,0.2865156759111992,0.2476589354464489,0.1260253762475032,3.2155559596564913,1.7081626720946863,0.5313027619922431
8,1,2000,1000,-12.0,0.3,1,0.6251922084890018,0.44230669240690723,0.444378689417045,0.1643279821726159,0.10832497331884716,0.12329631785969089,2.031675175345149,1.4064829668561474,0.21188777968300962
8,1,2000,1000,-12.0,0.3,2,0.4673379799514137,0.3724431117235065,0.29444584871612955,0.12335122697169237,0.10600399873587074,0.06477162589633198,1.4213831836741913,0.9540452037227775,0.15835052311196854
8,1,2000,1000,-12.0,0.3,3,0.24825405644414225,0.18149054145179255,0.1789100060374955,0.05936426001767319,0.053418377228487524,0.02684245541692084,0.9884689497566799,0.7402148933125375,0.08408123950732314
8,1,2000,1000,-12.0,0.3,4,0.1804710211409054,0.10634230199656614,0.18612997551846946,0.03567607799820843,0.03228904698049129,0.020064916544803822,0.7023571994398369,0.5218861782989316,0.061356118614479385
8,1,2000,1000,-12.0,0.3,5,0.11971210328943255,0.07237393891600596,0.12218917898157641,0.020985259056140515,0.018126652129007104,0.011207836776642997,0.48349046628193243,0.3637783629924998,0.04090505838116549
8,1,2000,1000,-12.0,0.3,6,0.08316526185087829,0.04459081247034008,0.08855742185540044,0.012673024133573005,0.009207446980454337,0.008234034548726397,0.298646095264405,0.2154808334135267,0.028368958170936216
8,1,2000,1000,-12.0,0.3,7,0.04843146170527064,0.020341965459714395,0.0546161333990282,0.006609915340445402,0.0036955423970261025,0.005497546344656056,0.13661459926949573,0.08818313756422508,0.016428750001731367
8,2,2000,1000,-12.0,0.3,0,1.523447296840814,1.1675410385227607,0.935031533355772,0.27745389914126206,0.2467268553225771,0.14221258485597515,3.205562288094552,1.6821149912537376,0.5386815353538122
8,2,2000,1000,-12.0,0.3,1,0.611430964239833,0.4661710229110603,0.39404959870134554,0.15429515834526536,0.1065247699364893,0.12226574751511037,2.0193228503777165,1.4078918861378835,0.20815211027179487
8,2,2000,1000,-12.0,0.3,2,0.46967082180266906,0.3622930624239127,0.3106996184658107,0.12262243436205549,0.10339409735619776,0.0638510073150124,1.4320294719833337,0.9623586501806647,0.15857007827420191
8,2,2000,1000,-12.0,0.3,3,0.23294342059797382,0.1792493429873665,0.1530876689177305,0.05486145124719597,0.052375771118149506,0.023223277124437645,1.0412445970501707,0.8083011764521971,0.07892472616490456
8,2,2000,1000,-12.0,0.3,4,0.14749203505278896,0.10239218186505294,0.12158982577202401,0.03168278979379876,0.03180396622299886,0.01294669547622541,0.7603868962929388,0.6128948612401498,0.05001030085308497
8,2,2000,1000,-12.0,0.3,5,0.15638847028208333,0.09963127908886305,0.1509488697601568,0.025450042115921626,0.02180000166753393,0.014311619264800306,0.5273573536583755,0.37096888337629236,0.05342902633068233
8,2,2000,1000,-12.0,0.3,6,0.09626498177771986,0.05742141815108126,0.09711523516493419,0.014529292460194914,0.011240524843637023,0.009261659345966785,0.32227840085379694,0.22601341907607708,0.032787639741679864
8,2,2000,1000,-12.0,0.3,7,0.05381803278091463,0.030676653888176114,0.05497367106534915,0.007285458005221549,0.005017990884542245,0.0054541726468051305,0.14668819682514297,0.09287016404422832,0.018243693993322374
8,3,2000,1000,-12.0,0.3,0,1.6086327879918103,1.1996479406110896,0.9939570855190035,0.289835696709437,0.2563941541499801,0.13621615705503876,3.3576613558942965,1.7490285679024862,0.5683044187704128
8,3,2000,1000,-12.0,0.3,1,0.7670704649213845,0.5241790213937039,0.5738872140641814,0.18871214237089265,0.13247293745523403,0.13698717131401864,2.1761633041079635,1.4090928391865791,0.26464993542244314
8,3,2000,1000,-12.0,0.3,2,0.4733785277235329,0.3600589894969126,0.32973743027940305,0.12265154090154451,0.10296312245737593,0.06967042655455787,1.4710307729327485,0.9976522452092157,0.16068412334288
8,3,2000,1000,-12.0,0.3,3,0.355896506175211,0.22735291757005527,0.31371450595270783,0.0773943106107162,0.06943570788448361,0.042855260817653555,1.056284361456327,0.7003878552811161,0.12127108688266894
8,3,2000,1000,-12.0,0.3,4,0.17994552171296427,0.11224517098305353,0.17061861349631605,0.036117387713823584,0.03294333507090075,0.01767433250141929,0.7271712670978907,0.5472257453849263,0.06129378588107167
8,3,2000,1000,-12.0,0.3,5,0.0997752571377444,0.04444203138164171,0.1163971437200038,0.01718630638208278,0.014396974375922578,0.011527645172432478,0.4955298130591443,0.39575455592139985,0.03390348074009151
8,3,2000,1000,-12.0,0.3,6,0.10215160825776294,0.07056680613008692,0.09009763372476413,0.015081823295855706,0.012540491288005828,0.008345365813482431,0.31868536497246625,0.2165337567147033,0.034781511515899005
8,3,2000,1000,-12.0,0.3,7,0.05958129526055307,0.028134087278734482,0.0596783692908671,0.007873299406606252,0.004649258347614538,0.006071271769150966,0.14680566728466546,0.08722437202411236,0.02017840724059198
8,4,2000,1000,-12.0,0.3,0,1.6201921839912452,1.238976388937194,1.072954856229453,0.316055465192097,0.25762183249882487,0.19371787246160396,3.454056860750592,1.8338646767593463,0.5714651550157384
8,4,2000,1000,-12.0,0.3,1,0.630467632677217,0.48082201929335056,0.42012100566625116,0.15776810243867873,0.10095237768271859,0.12600126006998724,2.2129239646177634,1.5824563319405467,0.21527161607898962
8,4,2000,1000,-12.0,0.3,2,0.4966889541660269,0.3937390203972746,0.3410110992355548,0.12977327510540101,0.11105503558487806,0.07102343122359707,1.6165141435579993,1.1198251893919722,0.16818117055762632
8,4,2000,1000,-12.0,0.3,3,0.2628957724517011,0.19834004999627342,0.17875265226427012,0.0633742958493608,0.058901740918206213,0.02800221641672051,1.185811557061683,0.9229157846099822,0.08864107702747603
8,4,2000,1000,-12.0,0.3,4,0.17231926761769079,0.1012793295390284,0.1694052260774924,0.03314905941934412,0.030663364313346597,0.018647301019475357,0.8777064896945931,0.7053872220769024,0.05855372954097393
8,4,2000,1000,-12.0,0.3,5,0.17826532207697748,0.09816243939155256,0.18241500618991335,0.02749041701273721,0.02144774822079576,0.017143030015082213,0.6273088310904278,0.44904350901345025,0.06078171588697337
8,4,2000,1000,-12.0,0.3,6,0.09975861229523555,0.05621116041511076,0.10160726608350064,0.014475928927385733,0.011228229370604026,0.009315459156216361,0.3955627973410424,0.29580418504580686,0.03396899334559665
8,4,2000,1000,-12.0,0.3,7,0.04318344647480288,0.016466653301715956,0.046529421390869054,0.005755554545579018,0.0031903284132747123,0.0043924973825346676,0.19125266054791368,0.1480692140731108,0.01465131089822454
8,5,2000,1000,-12.0,0.3,0,1.5219154114967524,1.103858823250316,0.9673286391282485,0.2837727962872115,0.22859006653188652,0.1774098895712489,3.4432315926412804,1.9213161811445283,0.5348498604325336
8,5,2000,1000,-12.0,0.3,1,0.8297773134133402,0.6088204982475491,0.5966374524329472,0.2074031408026392,0.15399070570391915,0.1500714883233377,2.2953859838006103,1.4656086703872693,0.28512203165709443
8,5,2000,1000,-12.0,0.3,2,0.4600848207400937,0.3833289253729726,0.2425728387003591,0.12257335006586163,0.10517949146692018,0.06101030948247601,1.5298472066420452,1.0697623859019514,0.1557641802248354
8,5,2000,1000,-12.0,0.3,3,0.31553083386718483,0.2028722262855317,0.2666545046904418,0.06952709912732265,0.06218133592938235,0.03690326787989327,1.117177096390816,0.8016462625236311,0.10716116831819622
8,5,2000,1000,-12.0,0.3,4,0.21937451991465812,0.11240430079357733,0.22684820160439728,0.03989412906983807,0.033285706287554784,0.0238071927693129,0.8143941357111114,0.5950196157964533,0.0746083488476026
8,5,2000,1000,-12.0,0.3,5,0.12276877437860048,0.07133370586719157,0.11825415519637206,0.020390189385362616,0.01736941467368902,0.00998141146808662,0.5594232395659458,0.4366544651873453,0.04194742775678899
8,5,2000,1000,-12.0,0.3,6,0.08844505822343057,0.04488681973695935,0.09062555817947837,0.012680572941240377,0.009013175395573558,0.008089021053348366,0.3504172459966033,0.2619721877731727,0.0301058338828034
8,5,2000,1000,-12.0,0.3,7,0.055402721655884044,0.022808728844648546,0.059034830646182174,0.007190541210098495,0.004003455894623059,0.005860170929186267,0.16450288301879365,0.10910016136290962,0.018765391276219928
8,6,2000,1000,-12.0,0.3,0,1.4982422744793662,1.1074333402814949,0.8767725866473572,0.29024913613678605,0.2503450496209083,0.14833502291794504,3.328346247989118,1.8301039735097513,0.5241115097903258
8,6,2000,1000,-12.0,0.3,1,0.6680645170969696,0.4218061844599592,0.4783864553940138,0.1737693162010828,0.11746626909085167,0.12794480715147694,2.18003794054832,1.5119734234513502,0.22736050324517035
8,6,2000,1000,-12.0,0.3,2,0.4763883751558945,0.39747957817004975,0.2983886908416941,0.1268842328041189,0.11364581681145092,0.06842155425286954,1.5447963985891187,1.068408023433224,0.1614011473262664
8,6,2000,1000,-12.0,0.3,3,0.26033085109956094,0.22102531321301688,0.1565852826253265,0.06371513480330118,0.06233383554930427,0.027280339708583193,1.1095525682628713,0.8492217171633102,0.08868853199690875
8,6,2000,1000,-12.0,0.3,4,0.16915523548649417,0.11362732299810852,0.15427797345313327,0.03441793962562987,0.033806996859863214,0.020664822969786417,0.7921968942087668,0.6230416587222727,0.0577926337672673
8,6,2000,1000,-12.0,0.3,5,0.14523152892383842,0.08338111352178224,0.14422318185953809,0.023550068840245242,0.01891077714576228,0.013458806854019074,0.5547870621383997,0.40955553321456123,0.04957909776607655
8,6,2000,1000,-12.0,0.3,6,0.10370976675126992,0.06636432736405712,0.10101627332581437,0.015051204926414317,0.011951764830643585,0.00974152496840101,0.34222207014876277,0.23851230339749288,0.03526144838680462
8,6,2000,1000,-12.0,0.3,7,0.05966418258264808,0.03192371488163359,0.06421950572841516,0.007753087553497812,0.004925097421389635,0.006510152375182701,0.16201546215176743,0.10235127956911935,0.020200347303402727
8,7,2000,1000,-12.0,0.3,0,1.6692009135709487,1.2692603445213653,1.0439389413414473,0.3108439182535176,0.2568257521624029,0.18164800254797706,3.4854408840958713,1.8162399705249224,0.5896984759839372
