T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
8,7,2000,1000,-12.0,0.3,0,4.61,2.5452658757737625,3.0,2,10,0.0,100.0,11.0
8,7,2000,1000,-12.0,0.3,1,6.553,2.8659037674709884,6.0,2,10,0.0,100.0,35.5
8,7,2000,1000,-12.0,0.3,2,4.954,2.9326582624786828,4.0,1,10,0.7000000000000001,99.3,20.4
8,7,2000,1000,-12.0,0.3,3,5.788,3.3457809626827415,5.0,1,10,4.2,95.8,33.800000000000004
8,7,2000,1000,-12.0,0.3,4,6.316,3.580357937827301,6.0,1,10,11.5,88.5,42.3
8,7,2000,1000,-12.0,0.3,5,5.047,3.545611704961834,4.0,1,10,18.099999999999998,81.89999999999999,28.799999999999997
8,7,2000,1000,-12.0,0.3,6,5.462,3.7302105128893825,4.0,1,10,18.9,81.10000000000001,35.6
8,7,2000,1000,-12.0,0.3,7,4.946,3.6230112075744687,4.0,1,10,22.3,77.7,28.4
8,8,2000,1000,-12.0,0.3,0,4.318,1.7481224018734878,4.0,2,10,0.0,100.0,3.8
8,8,2000,1000,-12.0,0.3,1,6.641,3.0154953510513347,6.0,2,10,0.0,100.0,38.9
8,8,2000,1000,-12.0,0.3,2,5.667,3.098016899358154,5.0,1,10,0.6,99.4,27.400000000000002
8,8,2000,1000,-12.0,0.3,3,6.349,3.420657816838729,6.0,1,10,5.800000000000001,94.19999999999999,40.5
8,8,2000,1000,-12.0,0.3,4,6.593,3.702304425362406,10.0,1,10,12.2,87.8,50.1
8,8,2000,1000,-12.0,0.3,5,5.853,3.637116937853335,5.0,1,10,15.5,84.5,38.1
8,8,2000,1000,-12.0,0.3,6,5.275,3.5428698715768445,4.0,1,10,17.8,82.19999999999999,30.7
8,8,2000,1000,-12.0,0.3,7,5.782,3.7377060406680522,5.0,1,10,17.1,82.89999999999999,39.2
