T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
8,-12.0,0.3,0,2,6.81,2.2323131998494796
8,-12.0,0.3,0,3,44.54,6.585708432321886
8,-12.0,0.3,0,4,18.080000000000002,5.997369793871681
8,-12.0,0.3,0,5,7.159999999999999,3.3869684904875563
8,-12.0,0.3,0,6,5.0600000000000005,2.673408145254127
8,-12.0,0.3,0,7,4.65,1.8774983355518586
8,-12.0,0.3,0,8,3.5200000000000005,2.509448810662081
8,-12.0,0.3,0,9,1.52,1.3758229860301394
8,-12.0,0.3,0,10,8.66,4.036004625038645
8,-12.0,0.3,1,2,5.279999999999999,3.410050504676499
8,-12.0,0.3,1,3,14.23,5.79234168728177
8,-12.0,0.3,1,4,15.780000000000001,3.6859492972940124
8,-12.0,0.3,1,5,10.940000000000001,2.23069495897579
8,-12.0,0.3,1,6,7.140000000000001,1.2402508706798887
8,-12.0,0.3,1,7,4.83,1.1738351199759225
8,-12.0,0.3,1,8,2.52,0.7114929530376405
8,-12.0,0.3,1,9,1.27,0.3334999583541537
8,-12.0,0.3,1,10,38.010000000000005,8.656718649567964
8,-12.0,0.3,2,1,1.0,0.754983443527075
8,-12.0,0.3,2,2,15.170000000000002,3.328012419848619
8,-12.0,0.3,2,3,23.43,3.7416722345912543
8,-12.0,0.3,2,4,13.15,2.685454648037585
8,-12.0,0.3,2,5,8.120000000000001,1.435889194115541
8,-12.0,0.3,2,6,5.21,0.8198238293140246
8,-12.0,0.3,2,7,4.42,1.0411532067856297
8,-12.0,0.3,2,8,2.51,0.8006247560499238
8,-12.0,0.3,2,9,1.29,0.4840798832148815
8,-12.0,0.3,2,10,25.8,3.9802289158065047
8,-12.0,0.3,3,1,6.6,2.0569664827388685
8,-12.0,0.3,3,2,15.2,1.7682382946499786
8,-12.0,0.3,3,3,14.55,2.172172491616016
8,-12.0,0.3,3,4,10.379999999999999,2.060636363413551
8,-12.0,0.3,3,5,6.63,1.2728358539541191
8,-12.0,0.3,3,6,4.59,0.8265725752904111
8,-12.0,0.3,3,7,2.79,0.8774331250237187
8,-12.0,0.3,3,8,1.94,0.4671426144361295
8,-12.0,0.3,3,9,1.1300000000000001,0.5121848624601604
8,-12.0,0.3,3,10,36.19,5.160630883052102
8,-12.0,0.3,4,1,13.959999999999999,2.8426122571403307
8,-12.0,0.3,4,2,11.66,1.5514867421641447
8,-12.0,0.3,4,3,8.83,1.0625441167311591
8,-12.0,0.3,4,4,6.83,1.2009718287009623
8,-12.0,0.3,4,5,4.85,1.2393994961718804
8,-12.0,0.3,4,6,3.72,0.9874771446018946
8,-12.0,0.3,4,7,2.79,0.38715486421958967
8,-12.0,0.3,4,8,1.55,0.510446427703785
8,-12.0,0.3,4,9,0.74,0.2951459149490488
8,-12.0,0.3,4,10,45.07,5.941763673822408
8,-12.0,0.3,5,1,16.39,2.5053054814843554
8,-12.0,0.3,5,2,12.620000000000001,2.170918904263558
8,-12.0,0.3,5,3,10.35,2.1649993584807876
8,-12.0,0.3,5,4,7.95,1.399404635312222
8,-12.0,0.3,5,5,6.359999999999999,1.3108097582113976
8,-12.0,0.3,5,6,4.0600000000000005,0.7862710869809614
8,-12.0,0.3,5,7,2.63,0.8459708426811569
8,-12.0,0.3,5,8,1.6600000000000001,0.3438345855527366
8,-12.0,0.3,5,9,1.0,0.3431876713662334
8,-12.0,0.3,5,10,36.980000000000004,7.214460786811752
8,-12.0,0.3,6,1,17.740000000000002,1.5334782540210847
8,-12.0,0.3,6,2,14.3,1.6753109164172084
8,-12.0,0.3,6,3,11.690000000000001,1.4670075361466657
8,-12.0,0.3,6,4,9.1,1.0603982480391247
8,-12.0,0.3,6,5,6.5200000000000005,1.1063453348751462
8,-12.0,0.3,6,6,4.88,0.6338594306135847
8,-12.0,0.3,6,7,2.69,0.8478076301719499
8,-12.0,0.3,6,8,1.8399999999999999,0.46475800154489
8,-12.0,0.3,6,9,1.04,0.37475918193480523
8,-12.0,0.3,6,10,30.2,2.54296414970142
8,-12.0,0.3,7,1,18.48,2.8843639776483756
8,-12.0,0.3,7,2,14.86,1.9345972879818352
8,-12.0,0.3,7,3,11.190000000000001,1.8272322725307193
8,-12.0,0.3,7,4,8.27,1.6234736421225533
8,-12.0,0.3,7,5,5.41,0.930292666016692
8,-12.0,0.3,7,6,3.9,0.8
8,-12.0,0.3,7,7,2.7399999999999998,0.8553102101317134
8,-12.0,0.3,7,8,1.5699999999999998,0.32335051500740736
8,-12.0,0.3,7,9,0.9400000000000001,0.3565264521898916
8,-12.0,0.3,7,10,32.64,6.601212009926663
