T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd
8,-12.0,0.3,0,4.4671,0.21243532349086083,4.226,4.912,2.2593271335334264,3.4,2.0,10.0,0.0,0.0,100.0,0.0,8.66,4.036004625038646
8,-12.0,0.3,1,6.5941,0.6958386546702713,5.26,7.453,2.900501766939117,6.2,2.0,10.0,0.0,0.0,100.0,0.0,38.010000000000005,8.656718649567964
8,-12.0,0.3,2,5.4662,0.30373775238225226,4.954,5.932,3.0634040309188477,4.3,1.1,10.0,0.9,0.7788880963698616,99.1,0.7788880963698672,25.8,3.980228915806505
8,-12.0,0.3,3,5.8998,0.36836117541830543,5.21,6.473,3.4260461511629146,5.0,1.0,10.0,6.6,2.0569664827388685,93.4,2.056966482738864,36.190000000000005,5.160630883052102
8,-12.0,0.3,4,6.2695,0.40057964945258445,5.559,6.903,3.692211641062589,7.2,1.0,10.0,13.959999999999999,2.8426122571403303,86.03999999999999,2.8426122571403276,45.07,5.941763673822411
8,-12.0,0.3,5,5.7113,0.5399514484346408,5.047,6.858,3.6319425406771884,5.3,1.0,10.0,16.39,2.5053054814843554,83.61,2.5053054814843514,36.980000000000004,7.214460786811754
8,-12.0,0.3,6,5.246,0.1876355806106908,4.92,5.48,3.5547392578254113,4.1,1.0,10.0,17.740000000000002,1.5334782540210843,82.26,1.5334782540210827,30.2,2.54296414970142
8,-12.0,0.3,7,5.319,0.49365777619723566,4.738,6.46,3.6207241000996264,4.4,1.0,10.0,18.48,2.8843639776483756,81.52000000000001,2.8843639776483725,32.64,6.601212009926663
