T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
10,-12.0,0.3,0,2,3.822222222222222,2.055345334595733
10,-12.0,0.3,0,3,40.67,6.625883588875777
10,-12.0,0.3,0,4,25.95,6.661206096996748
10,-12.0,0.3,0,5,10.35,2.557450987908772
10,-12.0,0.3,0,6,6.08,1.663864310706989
10,-12.0,0.3,0,7,4.37,1.2156845351031198
10,-12.0,0.3,0,8,2.75,1.4554495296413867
10,-12.0,0.3,0,9,1.0,1.0944303439588001
10,-12.0,0.3,0,10,5.39,2.310098602994157
10,-12.0,0.3,1,2,4.46,1.9120669444347393
10,-12.0,0.3,1,3,12.32,2.137911753713578
10,-12.0,0.3,1,4,15.7,4.134139706288494
10,-12.0,0.3,1,5,10.709999999999999,2.0360364545961462
10,-12.0,0.3,1,6,7.540000000000001,0.823542483556387
10,-12.0,0.3,1,7,4.7,1.2481096817899369
10,-12.0,0.3,1,8,2.9899999999999998,0.7078135347674557
10,-12.0,0.3,1,9,1.45,0.5482294734466177
10,-12.0,0.3,1,10,40.13,6.379489704426906
10,-12.0,0.3,2,1,0.7,0.44221663871405337
10,-12.0,0.3,2,2,12.22,1.793073091402331
10,-12.0,0.3,2,3,18.09,3.991783227247358
10,-12.0,0.3,2,4,15.530000000000001,4.605323007129902
10,-12.0,0.3,2,5,9.59,2.216328294975974
10,-12.0,0.3,2,6,7.109999999999999,1.9801515093547764
10,-12.0,0.3,2,7,5.45,1.818576977260578
10,-12.0,0.3,2,8,3.1399999999999997,0.9593979593705859
10,-12.0,0.3,2,9,1.53,0.43728963196286985
10,-12.0,0.3,2,10,26.639999999999997,6.974748103774869
10,-12.0,0.3,3,1,6.08,2.0831599927887328
10,-12.0,0.3,3,2,13.9,2.572072229848057
10,-12.0,0.3,3,3,12.08,3.914588100937314
10,-12.0,0.3,3,4,9.2,2.8902133715927154
10,-12.0,0.3,3,5,6.459999999999999,1.129601699715435
10,-12.0,0.3,3,6,4.5200000000000005,1.086073457716169
10,-12.0,0.3,3,7,3.34,0.643255608430877
10,-12.0,0.3,3,8,2.23,0.4620004810002306
10,-12.0,0.3,3,9,1.1800000000000002,0.5050852513300217
10,-12.0,0.3,3,10,41.010000000000005,10.903969715454808
10,-12.0,0.3,4,1,12.08,2.594781086891318
10,-12.0,0.3,4,2,10.7,1.7644640357154728
10,-12.0,0.3,4,3,7.38,1.636934804919107
10,-12.0,0.3,4,4,6.2,0.8969082698049141
10,-12.0,0.3,4,5,4.16,0.9252026804976303
10,-12.0,0.3,4,6,3.22,0.7114929530376405
10,-12.0,0.3,4,7,2.33,0.5618422079789545
10,-12.0,0.3,4,8,1.6600000000000001,0.600370256129036
10,-12.0,0.3,4,9,0.62,0.2699794230842211
10,-12.0,0.3,4,10,51.65,6.599873736165968
10,-12.0,0.3,5,1,14.7,2.0768565991260286
10,-12.0,0.3,5,2,9.309999999999999,0.8412292592787453
10,-12.0,0.3,5,3,6.6,1.1274356350191843
10,-12.0,0.3,5,4,5.11,1.5842628850316758
10,-12.0,0.3,5,5,3.5799999999999996,0.9354737361952558
10,-12.0,0.3,5,6,2.37,0.6583649781424012
10,-12.0,0.3,5,7,1.83,0.4785394445602159
10,-12.0,0.3,5,8,1.46,0.6484168755086842
10,-12.0,0.3,5,9,0.72,0.4157990967870047
10,-12.0,0.3,5,10,54.32000000000001,4.500074073464421
10,-12.0,0.3,6,1,13.13,1.9584858096669138
10,-12.0,0.3,6,2,10.1,1.195361405136074
10,-12.0,0.3,6,3,7.95,1.7840341302166212
10,-12.0,0.3,6,4,5.7299999999999995,1.1470251377658065
10,-12.0,0.3,6,5,4.9399999999999995,1.2276445377677982
10,-12.0,0.3,6,6,3.6799999999999997,0.7656515018088988
10,-12.0,0.3,6,7,2.65,0.6059886320899281
10,-12.0,0.3,6,8,1.92,0.20976176963403032
10,-12.0,0.3,6,9,1.35,0.5482294734466175
10,-12.0,0.3,6,10,48.55,7.286860320695966
10,-12.0,0.3,7,1,12.1,2.4170689320377736
10,-12.0,0.3,7,2,9.97,2.0072369067950104
10,-12.0,0.3,7,3,8.32,1.9893047361662146
10,-12.0,0.3,7,4,6.539999999999999,2.060852035229874
10,-12.0,0.3,7,5,4.9399999999999995,1.1393955512561134
10,-12.0,0.3,7,6,3.9200000000000004,0.9738811243906744
10,-12.0,0.3,7,7,3.06,0.8809086218218094
10,-12.0,0.3,7,8,2.1,0.6896053621859068
10,-12.0,0.3,7,9,1.3800000000000001,0.543241300999023
10,-12.0,0.3,7,10,47.67,9.404732851070252
10,-12.0,0.3,8,1,12.040000000000001,3.0236842868703517
10,-12.0,0.3,8,2,10.35,1.769651566457834
10,-12.0,0.3,8,3,8.41,1.36337000765668
10,-12.0,0.3,8,4,6.859999999999999,1.4818906842274162
10,-12.0,0.3,8,5,6.0200000000000005,1.2585706178041816
10,-12.0,0.3,8,6,4.470000000000001,0.9274217547109355
10,-12.0,0.3,8,7,3.2299999999999995,1.212023102090055
10,-12.0,0.3,8,8,2.7,1.1766241729815194
10,-12.0,0.3,8,9,1.8,0.771722460186015
10,-12.0,0.3,8,10,44.12,6.800457500949639
10,-12.0,0.3,9,1,11.370000000000001,2.9996481275124403
10,-12.0,0.3,9,2,9.93,2.5811496146743087
10,-12.0,0.3,9,3,8.08,1.8310895360109753
10,-12.0,0.3,9,4,7.08,0.8403702887550357
10,-12.0,0.3,9,5,6.2,1.5427248620541514
10,-12.0,0.3,9,6,4.970000000000001,1.147025137765806
10,-12.0,0.3,9,7,3.9200000000000004,1.2479316220584096
10,-12.0,0.3,9,8,2.8899999999999997,1.0671353137150779
10,-12.0,0.3,9,9,1.97,1.0853058964590991
10,-12.0,0.3,9,10,43.589999999999996,4.478206486232333
