T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
10,1,2000,1000,-12.0,0.3,0,4.818,2.0136859067220314,4.0,2,10,0.0,100.0,6.7
10,1,2000,1000,-12.0,0.3,1,6.097,2.911712394634654,5.0,2,10,0.0,100.0,30.4
10,1,2000,1000,-12.0,0.3,2,5.556,3.036129457398364,4.0,1,10,0.6,99.4,26.6
10,1,2000,1000,-12.0,0.3,3,4.768,3.1730496756660216,4.0,1,10,10.100000000000001,89.9,21.3
10,1,2000,1000,-12.0,0.3,4,6.016,3.7672185941269634,6.0,1,10,16.6,83.39999999999999,42.699999999999996
10,1,2000,1000,-12.0,0.3,5,6.627,3.904499470625667,10.0,1,10,17.8,82.19999999999999,54.800000000000004
10,1,2000,1000,-12.0,0.3,6,6.339,3.699698199416645,7.0,1,10,14.499999999999998,85.5,44.9
10,1,2000,1000,-12.0,0.3,7,6.1,3.597351934540314,6.0,1,10,13.3,86.7,39.800000000000004
10,1,2000,1000,-12.0,0.3,8,5.363,3.4904748121730393,4.5,1,10,16.0,84.0,28.799999999999997
10,1,2000,1000,-12.0,0.3,9,6.234,3.55385338384603,6.0,1,10,12.7,87.3,40.5
10,2,2000,1000,-12.0,0.3,0,4.222,1.8873998723848315,4.0,2,10,0.0,100.0,4.7
10,2,2000,1000,-12.0,0.3,1,6.795,3.0109867221628597,6.0,2,10,0.0,100.0,42.5
10,2,2000,1000,-12.0,0.3,2,5.707,2.904408130168105,5.0,1,10,1.5,98.5,23.200000000000003
10,2,2000,1000,-12.0,0.3,3,6.691,3.4741313430249856,8.0,1,10,7.1,92.9,47.199999999999996
10,2,2000,1000,-12.0,0.3,4,6.779,3.669553736440526,10.0,1,10,13.100000000000001,86.9,51.6
10,2,2000,1000,-12.0,0.3,5,6.613,3.776704184139194,10.0,1,10,15.0,85.0,51.6
10,2,2000,1000,-12.0,0.3,6,5.996,3.5783779549942443,6.0,1,10,12.8,87.2,38.1
10,2,2000,1000,-12.0,0.3,7,6.046,3.645980962262033,6.0,1,10,12.9,87.1,40.6
10,2,2000,1000,-12.0,0.3,8,6.518,3.6708515566760735,8.0,1,10,13.0,87.0,47.5
10,2,2000,1000,-12.0,0.3,9,6.542,3.6286916930766386,8.0,1,10,12.2,87.8,47.099999999999994
10,3,2000,1000,-12.0,0.3,0,4.006,1.5882337631742018,3.0,2,10,0.0,100.0,2.7
10,3,2000,1000,-12.0,0.3,1,6.902,2.936156844757619,7.0,2,10,0.0,100.0,42.0
10,3,2000,1000,-12.0,0.3,2,5.681,2.996033246680553,5.0,1,10,1.0,99.0,25.6
10,3,2000,1000,-12.0,0.3,3,6.57,3.392434024208667,6.5,1,10,4.8,95.19999999999999,43.6
10,3,2000,1000,-12.0,0.3,4,7.384,3.5610707975586817,10.0,1,10,10.5,89.5,61.6
10,3,2000,1000,-12.0,0.3,5,7.042,3.723452712214847,10.0,1,10,14.7,85.3,57.49999999999999
10,3,2000,1000,-12.0,0.3,6,7.116,3.589906883392859,10.0,1,10,11.600000000000001,88.4,55.60000000000001
10,3,2000,1000,-12.0,0.3,7,6.42,3.532999020956853,7.0,1,10,11.700000000000001,88.3,42.9
10,3,2000,1000,-12.0,0.3,8,6.446,3.5033351762795064,7.0,1,10,10.7,89.3,41.9
10,3,2000,1000,-12.0,0.3,9,6.7,3.4819712985784537,8.0,1,10,11.0,89.0,44.7
10,4,2000,1000,-12.0,0.3,0,4.187,1.8792452108659374,4.0,2,10,0.0,100.0,5.2
10,4,2000,1000,-12.0,0.3,1,7.266,2.793393464416899,8.0,2,10,0.0,100.0,46.800000000000004
10,4,2000,1000,-12.0,0.3,2,6.616,3.2066847096069218,7.0,1,10,1.0,99.0,40.5
10,4,2000,1000,-12.0,0.3,3,6.249,3.533763784760731,6.0,1,10,7.8,92.2,41.8
