T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
10,1,2000,1000,-12.0,0.3,0,2,0.9
10,1,2000,1000,-12.0,0.3,0,3,25.2
10,1,2000,1000,-12.0,0.3,0,4,37.4
10,1,2000,1000,-12.0,0.3,0,5,10.3
10,1,2000,1000,-12.0,0.3,0,6,7.3
10,1,2000,1000,-12.0,0.3,0,7,6.6
10,1,2000,1000,-12.0,0.3,0,8,4.1
10,1,2000,1000,-12.0,0.3,0,9,1.5
10,1,2000,1000,-12.0,0.3,0,10,6.7
10,1,2000,1000,-12.0,0.3,1,2,6.0
10,1,2000,1000,-12.0,0.3,1,3,15.5
10,1,2000,1000,-12.0,0.3,1,4,22.3
10,1,2000,1000,-12.0,0.3,1,5,10.4
10,1,2000,1000,-12.0,0.3,1,6,7.2
10,1,2000,1000,-12.0,0.3,1,7,3.8
10,1,2000,1000,-12.0,0.3,1,8,3.4
10,1,2000,1000,-12.0,0.3,1,9,1.0
10,1,2000,1000,-12.0,0.3,1,10,30.4
10,1,2000,1000,-12.0,0.3,2,1,0.6
10,1,2000,1000,-12.0,0.3,2,2,11.8
10,1,2000,1000,-12.0,0.3,2,3,23.0
10,1,2000,1000,-12.0,0.3,2,4,17.6
10,1,2000,1000,-12.0,0.3,2,5,8.3
10,1,2000,1000,-12.0,0.3,2,6,5.4
10,1,2000,1000,-12.0,0.3,2,7,3.1
10,1,2000,1000,-12.0,0.3,2,8,2.0
10,1,2000,1000,-12.0,0.3,2,9,1.6
10,1,2000,1000,-12.0,0.3,2,10,26.6
10,1,2000,1000,-12.0,0.3,3,1,10.1
10,1,2000,1000,-12.0,0.3,3,2,19.3
10,1,2000,1000,-12.0,0.3,3,3,19.2
10,1,2000,1000,-12.0,0.3,3,4,13.5
10,1,2000,1000,-12.0,0.3,3,5,6.5
10,1,2000,1000,-12.0,0.3,3,6,4.3
10,1,2000,1000,-12.0,0.3,3,7,2.5
10,1,2000,1000,-12.0,0.3,3,8,2.0
10,1,2000,1000,-12.0,0.3,3,9,1.3
10,1,2000,1000,-12.0,0.3,3,10,21.3
10,1,2000,1000,-12.0,0.3,4,1,16.6
10,1,2000,1000,-12.0,0.3,4,2,12.6
10,1,2000,1000,-12.0,0.3,4,3,7.9
10,1,2000,1000,-12.0,0.3,4,4,7.1
10,1,2000,1000,-12.0,0.3,4,5,5.2
10,1,2000,1000,-12.0,0.3,4,6,3.0
10,1,2000,1000,-12.0,0.3,4,7,3.1
10,1,2000,1000,-12.0,0.3,4,8,1.2
10,1,2000,1000,-12.0,0.3,4,9,0.6
10,1,2000,1000,-12.0,0.3,4,10,42.7
10,1,2000,1000,-12.0,0.3,5,1,17.8
10,1,2000,1000,-12.0,0.3,5,2,9.4
10,1,2000,1000,-12.0,0.3,5,3,7.2
10,1,2000,1000,-12.0,0.3,5,4,4.4
