T_final,c0_death,epsilon_selection,stage,mean_q_range_mean,mean_q_range_sd,median_q_range_mean,median_q_range_sd,mean_top2_gap_mean,mean_top2_gap_sd,median_top2_gap_mean,median_top2_gap_sd,mean_q_sd_across_treatments_mean,mean_q_sd_across_treatments_sd,mean_q_max_mean,mean_q_min_mean
12,-12.0,0.3,0,2.2421774351717514,0.15589538293227803,1.5538539582299549,0.1684443357267009,0.38415409688373375,0.050521902807971114,0.32028302367463835,0.027683941947723972,0.7961744937844761,0.05488680963109447,4.563377157266251,2.3211997220944993
12,-12.0,0.3,1,0.8967697118951776,0.06642960127164636,0.6389472873776348,0.04744450131109535,0.2246264211671054,0.01720053524591027,0.164961661012706,0.012443131303546847,0.30747799036817713,0.023560519190415914,3.0813311189341785,2.184561407039001
12,-12.0,0.3,2,0.7615726618745697,0.08997267925891247,0.49003859713911063,0.02749555526617336,0.17493853098259285,0.015165499287926947,0.1391236560059317,0.006500544377315083,0.2598409985046224,0.03190521298615271,2.3187343785628842,1.5571617166883143
12,-12.0,0.3,3,0.48508632673178376,0.040907612263506324,0.28596159406350957,0.0207248144095658,0.09884032773557908,0.007377010400714798,0.08585928950117853,0.0059022980117893545,0.16488517677103495,0.01410793614933506,1.8108844519497223,1.3257981252179383
12,-12.0,0.3,4,0.31890497524158007,0.03757293846314654,0.16904027900661797,0.011193846553874249,0.057407705291107156,0.004210996612141645,0.05017248003059993,0.001816092979002363,0.10841377191251973,0.012852437180407726,1.4672149710684583,1.1483099958268785
12,-12.0,0.3,5,0.20934734569907293,0.02972684879960954,0.0998858312093511,0.009694464509784013,0.034645281223228255,0.003911443906181486,0.029440963595677695,0.001767046938400664,0.0711121816865561,0.010084034690934726,1.2075596935975592,0.9982123478984862
12,-12.0,0.3,6,0.15284687761063778,0.014867537856039694,0.06714915808853197,0.012175997214464005,0.02343164603624208,0.0023100529370025597,0.018217965823241266,0.0018044270459412323,0.05195332214323813,0.005118737341276782,0.9852208171339258,0.8323739395232881
12,-12.0,0.3,7,0.10712943103759842,0.016210640543877216,0.05362660860207199,0.015701114490687076,0.01582528793645865,0.0019868055343954306,0.012321703274046091,0.0019347708323424642,0.03646606744733419,0.0055401436562566185,0.7874829904621597,0.6803535594245613
12,-12.0,0.3,8,0.08840238519390478,0.013706676735462529,0.04744880963103106,0.008016125843258478,0.012255155449793182,0.0015640167175555745,0.008971206757583417,0.0008408019085303732,0.030053003320555244,0.004616520201393224,0.6079395906924266,0.5195372054985218
12,-12.0,0.3,9,0.0660524991871343,0.00795257144448624,0.03348617953982212,0.008136914849385939,0.008733210731548058,0.0008850724265538991,0.005794636145347804,0.0008933643910697184,0.02238473387730391,0.0026741759698003004,0.4393065484620906,0.37325404927495626
12,-12.0,0.3,10,0.039046854015411844,0.005360049635478906,0.020054229577488713,0.0031576416704504006,0.005057841982653572,0.000588006227790195,0.0032754737070809503,0.00035472450091571174,0.013213818151491521,0.001801502228672738,0.2856652894506671,0.24661843543525527
12,-12.0,0.3,11,0.020293841459605957,0.004641391922409054,0.00843952102828215,0.0021974510131336417,0.0025406247672532145,0.0005008640883151142,0.001350757958056048,0.00025216367242134855,0.006855159566622963,0.0015596763592446948,0.14313668625214354,0.12284284479253757
