T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
12,-12.0,0.3,0,2,4.377777777777778,3.7798074612927635
12,-12.0,0.3,0,3,39.21,8.176042237333823
12,-12.0,0.3,0,4,28.49,7.296643063765694
12,-12.0,0.3,0,5,10.06,4.212204490129446
12,-12.0,0.3,0,6,5.37,2.0784876980899143
12,-12.0,0.3,0,7,3.62,1.1988883740087455
12,-12.0,0.3,0,8,2.7600000000000002,1.3688600285557972
12,-12.0,0.3,0,9,1.2444444444444445,0.8323327326122515
12,-12.0,0.3,0,10,5.43,3.3370146338706204
12,-12.0,0.3,1,2,4.11,2.206278918601786
12,-12.0,0.3,1,3,11.25,3.119205739358089
12,-12.0,0.3,1,4,15.84,2.80126955345449
12,-12.0,0.3,1,5,10.709999999999999,2.251147855354389
12,-12.0,0.3,1,6,7.32,1.7312808360671395
12,-12.0,0.3,1,7,4.4,1.0498677165349082
12,-12.0,0.3,1,8,2.46,0.5680375574437545
12,-12.0,0.3,1,9,1.25,0.4006938426723769
12,-12.0,0.3,1,10,42.660000000000004,4.843598295115363
12,-12.0,0.3,2,1,0.72,0.565292451352002
12,-12.0,0.3,2,2,12.01,2.0030254893812787
12,-12.0,0.3,2,3,15.11,2.1496511344867115
12,-12.0,0.3,2,4,15.05,4.456268992479396
12,-12.0,0.3,2,5,9.3,2.2504320572824335
12,-12.0,0.3,2,6,6.74,1.9800112233127478
12,-12.0,0.3,2,7,5.21,1.6742825992711692
12,-12.0,0.3,2,8,3.8200000000000003,0.7997221739801614
12,-12.0,0.3,2,9,1.94,0.5211099265563415
12,-12.0,0.3,2,10,30.1,7.540999049639687
12,-12.0,0.3,3,1,6.63,1.9224116798091575
12,-12.0,0.3,3,2,12.52,1.430462240753744
12,-12.0,0.3,3,3,10.01,2.612555156249232
12,-12.0,0.3,3,4,9.01,2.537912528043471
12,-12.0,0.3,3,5,6.45,1.843456897606595
12,-12.0,0.3,3,6,4.819999999999999,0.7714344503009384
12,-12.0,0.3,3,7,3.29,0.467736868097628
12,-12.0,0.3,3,8,2.04,0.7074209810603899
12,-12.0,0.3,3,9,1.4,0.6514940095230688
12,-12.0,0.3,3,10,43.83,7.934460704210881
12,-12.0,0.3,4,1,13.180000000000001,1.5186251091767915
12,-12.0,0.3,4,2,10.0,1.0913803695829933
12,-12.0,0.3,4,3,7.2299999999999995,0.6864562784491247
12,-12.0,0.3,4,4,5.720000000000001,1.172651316935734
12,-12.0,0.3,4,5,4.68,1.364469778990278
12,-12.0,0.3,4,6,3.29,1.1396393191610132
12,-12.0,0.3,4,7,2.27,0.6912950809089334
12,-12.0,0.3,4,8,1.65,0.4927248499698161
12,-12.0,0.3,4,9,0.74,0.29514591494904874
12,-12.0,0.3,4,10,51.239999999999995,4.882440191361511
12,-12.0,0.3,5,1,14.36,1.6978417672641535
12,-12.0,0.3,5,2,9.290000000000001,1.2931013537658644
12,-12.0,0.3,5,3,6.2,1.1879019787470309
12,-12.0,0.3,5,4,4.56,1.198332174315619
12,-12.0,0.3,5,5,3.46,0.9070097390142329
12,-12.0,0.3,5,6,2.3400000000000003,0.36575644598253887
12,-12.0,0.3,5,7,1.78,0.6069962474714687
12,-12.0,0.3,5,8,1.15,0.29907264074877266
12,-12.0,0.3,5,9,0.79,0.3604010112206802
12,-12.0,0.3,5,10,56.07000000000001,4.4407331726992
12,-12.0,0.3,6,1,11.73,1.5456390264224051
12,-12.0,0.3,6,2,8.73,1.3719815353470814
12,-12.0,0.3,6,3,6.24,1.071032731111011
12,-12.0,0.3,6,4,5.0,1.211977264179856
12,-12.0,0.3,6,5,3.7600000000000002,0.6345602151621758
12,-12.0,0.3,6,6,2.85,0.7877534865397648
12,-12.0,0.3,6,7,2.2800000000000002,0.7685484153042452
12,-12.0,0.3,6,8,1.47,0.464399253516483
12,-12.0,0.3,6,9,0.8800000000000001,0.3938414796731181
12,-12.0,0.3,6,10,57.06,5.335041393154008
12,-12.0,0.3,7,1,10.129999999999999,1.8726392545756851
12,-12.0,0.3,7,2,8.0,1.116542281629615
12,-12.0,0.3,7,3,6.63,1.0382142788889435
12,-12.0,0.3,7,4,4.890000000000001,1.2305825178887164
12,-12.0,0.3,7,5,3.7600000000000002,0.8500980335624045
12,-12.0,0.3,7,6,2.8600000000000003,0.7705697747626606
12,-12.0,0.3,7,7,2.32,0.7699927849589817
12,-12.0,0.3,7,8,1.35,0.49497474683058323
12,-12.0,0.3,7,9,1.0,0.4
12,-12.0,0.3,7,10,59.06,6.7135352501908825
12,-12.0,0.3,8,1,9.52,2.1477636948437526
12,-12.0,0.3,8,2,8.879999999999999,1.2452576707921403
12,-12.0,0.3,8,3,7.1,1.1085526098877265
12,-12.0,0.3,8,4,5.55,0.7619419633774973
12,-12.0,0.3,8,5,4.59,1.031126676127731
12,-12.0,0.3,8,6,3.37,0.70087247215326
12,-12.0,0.3,8,7,2.8600000000000003,1.215821624343893
12,-12.0,0.3,8,8,2.15,0.5967504596656052
