T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
12,1,2000,1000,-12.0,0.3,0,2,2.2
12,1,2000,1000,-12.0,0.3,0,3,33.2
12,1,2000,1000,-12.0,0.3,0,4,27.3
12,1,2000,1000,-12.0,0.3,0,5,10.6
12,1,2000,1000,-12.0,0.3,0,6,6.5
12,1,2000,1000,-12.0,0.3,0,7,4.0
12,1,2000,1000,-12.0,0.3,0,8,6.1
12,1,2000,1000,-12.0,0.3,0,9,1.6
12,1,2000,1000,-12.0,0.3,0,10,8.5
12,1,2000,1000,-12.0,0.3,1,2,1.5
12,1,2000,1000,-12.0,0.3,1,3,6.5
12,1,2000,1000,-12.0,0.3,1,4,16.4
12,1,2000,1000,-12.0,0.3,1,5,12.1
12,1,2000,1000,-12.0,0.3,1,6,9.5
12,1,2000,1000,-12.0,0.3,1,7,6.8
12,1,2000,1000,-12.0,0.3,1,8,3.3
12,1,2000,1000,-12.0,0.3,1,9,1.8
12,1,2000,1000,-12.0,0.3,1,10,42.1
12,1,2000,1000,-12.0,0.3,2,1,0.2
12,1,2000,1000,-12.0,0.3,2,2,10.3
12,1,2000,1000,-12.0,0.3,2,3,18.6
12,1,2000,1000,-12.0,0.3,2,4,24.2
12,1,2000,1000,-12.0,0.3,2,5,10.5
12,1,2000,1000,-12.0,0.3,2,6,3.7
12,1,2000,1000,-12.0,0.3,2,7,3.2
12,1,2000,1000,-12.0,0.3,2,8,2.8
12,1,2000,1000,-12.0,0.3,2,9,1.3
12,1,2000,1000,-12.0,0.3,2,10,25.2
12,1,2000,1000,-12.0,0.3,3,1,5.4
12,1,2000,1000,-12.0,0.3,3,2,14.6
12,1,2000,1000,-12.0,0.3,3,3,11.4
12,1,2000,1000,-12.0,0.3,3,4,11.3
12,1,2000,1000,-12.0,0.3,3,5,7.9
12,1,2000,1000,-12.0,0.3,3,6,5.6
12,1,2000,1000,-12.0,0.3,3,7,3.2
12,1,2000,1000,-12.0,0.3,3,8,2.2
12,1,2000,1000,-12.0,0.3,3,9,1.4
12,1,2000,1000,-12.0,0.3,3,10,37.0
12,1,2000,1000,-12.0,0.3,4,1,14.1
12,1,2000,1000,-12.0,0.3,4,2,12.0
12,1,2000,1000,-12.0,0.3,4,3,7.2
12,1,2000,1000,-12.0,0.3,4,4,5.4
12,1,2000,1000,-12.0,0.3,4,5,6.5
12,1,2000,1000,-12.0,0.3,4,6,2.8
12,1,2000,1000,-12.0,0.3,4,7,2.8
12,1,2000,1000,-12.0,0.3,4,8,1.7
12,1,2000,1000,-12.0,0.3,4,9,1.0
12,1,2000,1000,-12.0,0.3,4,10,46.5
12,1,2000,1000,-12.0,0.3,5,1,16.4
12,1,2000,1000,-12.0,0.3,5,2,11.1
12,1,2000,1000,-12.0,0.3,5,3,6.1
12,1,2000,1000,-12.0,0.3,5,4,3.5
12,1,2000,1000,-12.0,0.3,5,5,4.2
12,1,2000,1000,-12.0,0.3,5,6,2.6
12,1,2000,1000,-12.0,0.3,5,7,2.1
12,1,2000,1000,-12.0,0.3,5,8,0.9
12,1,2000,1000,-12.0,0.3,5,9,0.9
12,1,2000,1000,-12.0,0.3,5,10,52.2
12,1,2000,1000,-12.0,0.3,6,1,14.0
12,1,2000,1000,-12.0,0.3,6,2,9.5
12,1,2000,1000,-12.0,0.3,6,3,5.7
12,1,2000,1000,-12.0,0.3,6,4,4.2
12,1,2000,1000,-12.0,0.3,6,5,3.4
12,1,2000,1000,-12.0,0.3,6,6,2.6
12,1,2000,1000,-12.0,0.3,6,7,2.3
12,1,2000,1000,-12.0,0.3,6,8,0.8
12,1,2000,1000,-12.0,0.3,6,9,0.5
12,1,2000,1000,-12.0,0.3,6,10,57.0
12,1,2000,1000,-12.0,0.3,7,1,8.5
12,1,2000,1000,-12.0,0.3,7,2,7.5
12,1,2000,1000,-12.0,0.3,7,3,6.1
12,1,2000,1000,-12.0,0.3,7,4,3.7
12,1,2000,1000,-12.0,0.3,7,5,3.4
12,1,2000,1000,-12.0,0.3,7,6,2.1
12,1,2000,1000,-12.0,0.3,7,7,1.6
12,1,2000,1000,-12.0,0.3,7,8,0.7
12,1,2000,1000,-12.0,0.3,7,9,0.7
12,1,2000,1000,-12.0,0.3,7,10,65.7
12,1,2000,1000,-12.0,0.3,8,1,7.5
12,1,2000,1000,-12.0,0.3,8,2,8.7
12,1,2000,1000,-12.0,0.3,8,3,6.3
12,1,2000,1000,-12.0,0.3,8,4,4.8
12,1,2000,1000,-12.0,0.3,8,5,2.4
12,1,2000,1000,-12.0,0.3,8,6,2.4
12,1,2000,1000,-12.0,0.3,8,7,1.5
12,1,2000,1000,-12.0,0.3,8,8,1.3
12,1,2000,1000,-12.0,0.3,8,9,0.7
12,1,2000,1000,-12.0,0.3,8,10,64.4
12,1,2000,1000,-12.0,0.3,9,1,8.3
12,1,2000,1000,-12.0,0.3,9,2,7.9
12,1,2000,1000,-12.0,0.3,9,3,6.1
12,1,2000,1000,-12.0,0.3,9,4,5.5
12,1,2000,1000,-12.0,0.3,9,5,4.8
12,1,2000,1000,-12.0,0.3,9,6,3.2
12,1,2000,1000,-12.0,0.3,9,7,3.3
12,1,2000,1000,-12.0,0.3,9,8,2.1
12,1,2000,1000,-12.0,0.3,9,9,1.5
12,1,2000,1000,-12.0,0.3,9,10,57.3
12,1,2000,1000,-12.0,0.3,10,1,7.3
12,1,2000,1000,-12.0,0.3,10,2,6.6
12,1,2000,1000,-12.0,0.3,10,3,7.2
12,1,2000,1000,-12.0,0.3,10,4,4.0
12,1,2000,1000,-12.0,0.3,10,5,6.1
12,1,2000,1000,-12.0,0.3,10,6,3.6
12,1,2000,1000,-12.0,0.3,10,7,3.5
12,1,2000,1000,-12.0,0.3,10,8,2.1
12,1,2000,1000,-12.0,0.3,10,9,2.6
12,1,2000,1000,-12.0,0.3,10,10,57.0
12,1,2000,1000,-12.0,0.3,11,1,5.4
12,1,2000,1000,-12.0,0.3,11,2,6.1
12,1,2000,1000,-12.0,0.3,11,3,5.1
12,1,2000,1000,-12.0,0.3,11,4,5.4
12,1,2000,1000,-12.0,0.3,11,5,4.5
12,1,2000,1000,-12.0,0.3,11,6,4.2
12,1,2000,1000,-12.0,0.3,11,7,3.5
12,1,2000,1000,-12.0,0.3,11,8,2.8
12,1,2000,1000,-12.0,0.3,11,9,2.1
12,1,2000,1000,-12.0,0.3,11,10,60.9
12,2,2000,1000,-12.0,0.3,0,2,5.7
12,2,2000,1000,-12.0,0.3,0,3,41.9
12,2,2000,1000,-12.0,0.3,0,4,31.3
12,2,2000,1000,-12.0,0.3,0,5,6.7
12,2,2000,1000,-12.0,0.3,0,6,5.4
12,2,2000,1000,-12.0,0.3,0,7,3.4
12,2,2000,1000,-12.0,0.3,0,8,1.9
12,2,2000,1000,-12.0,0.3,0,9,0.4
12,2,2000,1000,-12.0,0.3,0,10,3.3
12,2,2000,1000,-12.0,0.3,1,2,6.6
12,2,2000,1000,-12.0,0.3,1,3,16.7
12,2,2000,1000,-12.0,0.3,1,4,20.1
12,2,2000,1000,-12.0,0.3,1,5,8.7
12,2,2000,1000,-12.0,0.3,1,6,5.7
12,2,2000,1000,-12.0,0.3,1,7,3.6
12,2,2000,1000,-12.0,0.3,1,8,1.7
12,2,2000,1000,-12.0,0.3,1,9,1.0
12,2,2000,1000,-12.0,0.3,1,10,35.9
12,2,2000,1000,-12.0,0.3,2,1,0.8
12,2,2000,1000,-12.0,0.3,2,2,11.6
12,2,2000,1000,-12.0,0.3,2,3,17.3
12,2,2000,1000,-12.0,0.3,2,4,16.9
12,2,2000,1000,-12.0,0.3,2,5,8.6
12,2,2000,1000,-12.0,0.3,2,6,6.8
12,2,2000,1000,-12.0,0.3,2,7,5.1
12,2,2000,1000,-12.0,0.3,2,8,4.6
12,2,2000,1000,-12.0,0.3,2,9,2.0
12,2,2000,1000,-12.0,0.3,2,10,26.3
12,2,2000,1000,-12.0,0.3,3,1,10.4
12,2,2000,1000,-12.0,0.3,3,2,11.6
12,2,2000,1000,-12.0,0.3,3,3,16.6
12,2,2000,1000,-12.0,0.3,3,4,11.8
12,2,2000,1000,-12.0,0.3,3,5,7.4
12,2,2000,1000,-12.0,0.3,3,6,4.1
12,2,2000,1000,-12.0,0.3,3,7,2.7
12,2,2000,1000,-12.0,0.3,3,8,1.3
12,2,2000,1000,-12.0,0.3,3,9,1.6
12,2,2000,1000,-12.0,0.3,3,10,32.5
12,2,2000,1000,-12.0,0.3,4,1,15.1
