T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
12,1,2000,1000,-12.0,0.3,0,4.814,2.2190827673451765,4.0,2,10,0.0,100.0,8.5
12,1,2000,1000,-12.0,0.3,1,7.168,2.7098190196245797,7.0,2,10,0.0,100.0,42.1
12,1,2000,1000,-12.0,0.3,2,5.566,2.925440514213578,4.0,1,10,0.2,99.8,25.2
12,1,2000,1000,-12.0,0.3,3,6.097,3.3780174662073614,5.0,1,10,5.4,94.6,37.0
12,1,2000,1000,-12.0,0.3,4,6.378,3.7243773958860547,7.0,1,10,14.099999999999998,85.9,46.5
12,1,2000,1000,-12.0,0.3,5,6.595,3.841579458078764,10.0,1,10,16.400000000000002,83.6,52.2
12,1,2000,1000,-12.0,0.3,6,6.965,3.746706929132944,10.0,1,10,14.000000000000002,86.0,56.99999999999999
12,1,2000,1000,-12.0,0.3,7,7.663,3.4527311439427706,10.0,1,10,8.5,91.5,65.7
12,1,2000,1000,-12.0,0.3,8,7.606,3.4520545593429834,10.0,1,10,7.5,92.5,64.4
12,1,2000,1000,-12.0,0.3,9,7.34,3.433976149042418,10.0,1,10,8.3,91.7,57.3
12,1,2000,1000,-12.0,0.3,10,7.449,3.3368448470873697,10.0,1,10,7.3,92.7,56.99999999999999
12,1,2000,1000,-12.0,0.3,11,7.77,3.162768265792343,10.0,1,10,5.4,94.6,60.9
12,2,2000,1000,-12.0,0.3,0,4.038,1.6820776989739161,4.0,2,10,0.0,100.0,3.3000000000000003
12,2,2000,1000,-12.0,0.3,1,6.282,3.0525061496733787,5.0,2,10,0.0,100.0,35.9
12,2,2000,1000,-12.0,0.3,2,5.808,2.995013540220829,5.0,1,10,0.8,99.2,26.3
12,2,2000,1000,-12.0,0.3,3,5.609,3.431894068425903,4.0,1,10,10.4,89.60000000000001,32.5
12,2,2000,1000,-12.0,0.3,4,6.195,3.7046861810009903,6.0,1,10,15.1,84.89999999999999,43.7
12,2,2000,1000,-12.0,0.3,5,6.404,3.877346749752699,10.0,1,10,17.7,82.3,50.1
12,2,2000,1000,-12.0,0.3,6,6.812,3.745755823153277,10.0,1,10,13.200000000000001,86.8,54.2
12,2,2000,1000,-12.0,0.3,7,7.202,3.6172199657029815,10.0,1,10,11.5,88.5,58.3
12,2,2000,1000,-12.0,0.3,8,6.488,3.727163498928877,8.0,1,10,13.3,86.7,47.8
12,2,2000,1000,-12.0,0.3,9,6.734,3.6271752646378146,9.0,1,10,11.899999999999999,88.1,49.7
12,2,2000,1000,-12.0,0.3,10,7.039,3.462002955582861,10.0,1,10,8.200000000000001,91.8,52.1
12,2,2000,1000,-12.0,0.3,11,7.437,3.3426343210414458,10.0,1,10,7.5,92.5,56.699999999999996
12,3,2000,1000,-12.0,0.3,0,4.19,2.116690903363167,3.0,2,10,0.0,100.0,6.9
12,3,2000,1000,-12.0,0.3,1,6.884,3.0105826026879927,7.0,2,10,0.0,100.0,44.0
12,3,2000,1000,-12.0,0.3,2,6.062,2.9449666940101085,5.0,1,10,0.3,99.7,28.499999999999996
12,3,2000,1000,-12.0,0.3,3,6.684,3.389931508988882,7.0,1,10,5.1,94.89999999999999,46.0
12,3,2000,1000,-12.0,0.3,4,6.834,3.6079719319115364,10.0,1,10,11.5,88.5,52.2
12,3,2000,1000,-12.0,0.3,5,7.33,3.7308201536684953,10.0,1,10,14.499999999999998,85.5,63.6
12,3,2000,1000,-12.0,0.3,6,7.158,3.6647600830704414,10.0,1,10,10.6,89.4,59.099999999999994
