T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd
12,-12.0,0.3,0,4.337899999999999,0.24209063959140945,4.027,4.814,1.8968978492121362,3.7,2.1,10.0,0.0,0.0,100.0,0.0,5.430000000000001,3.3370146338706204
12,-12.0,0.3,1,6.9113,0.3339644192624917,6.282,7.354,2.924575819905722,6.9,2.0,10.0,0.0,0.0,100.0,0.0,42.660000000000004,4.8435982951153616
12,-12.0,0.3,2,6.026999999999999,0.48204656298835785,5.354,7.006,3.0238997300806787,5.4,1.0,10.0,0.72,0.565292451352002,99.28,0.5652924513520009,30.1,7.5409990496396855
12,-12.0,0.3,3,6.4916,0.5076101303603431,5.609,7.146,3.4316455528186274,7.0,1.0,10.0,6.63,1.9224116798091575,93.37,1.9224116798091513,43.83,7.934460704210882
12,-12.0,0.3,4,6.6903999999999995,0.28646318359530154,6.195,7.007,3.6925912326553414,8.9,1.0,10.0,13.180000000000001,1.5186251091767906,86.82000000000001,1.5186251091767953,51.239999999999995,4.882440191361509
12,-12.0,0.3,5,6.9059,0.3008659539100803,6.404,7.33,3.75034757879331,9.9,1.0,10.0,14.36,1.697841767264154,85.64,1.6978417672641535,56.06999999999999,4.440733172699198
12,-12.0,0.3,6,7.100499999999999,0.3189152621691919,6.632,7.653,3.6224691207778164,9.8,1.0,10.0,11.73,1.5456390264224056,88.27000000000001,1.5456390264224054,57.06,5.335041393154008
12,-12.0,0.3,7,7.2818,0.42331018309404156,6.399,7.829,3.5295588247152923,9.7,1.0,10.0,10.13,1.8726392545756854,89.87,1.8726392545756885,59.06,6.713535250190881
12,-12.0,0.3,8,7.0943,0.3762856627616841,6.488,7.718,3.513449291179275,9.8,1.0,10.0,9.52,2.147763694843753,90.47999999999999,2.147763694843748,54.44,5.496099627109311
12,-12.0,0.3,9,7.130599999999999,0.3472745311709456,6.592,7.654,3.4597433526863535,9.5,1.0,10.0,9.059999999999999,1.528397853963423,90.94,1.5283978539634235,53.85,5.281676922257843
12,-12.0,0.3,10,7.5327,0.33736826235501843,6.963,8.021,3.291459158379939,10.0,1.0,10.0,6.85,1.3108521401490456,93.15,1.3108521401490423,58.46,4.7782377039611115
12,-12.0,0.3,11,7.7926,0.5487679533889226,6.981,8.645,3.152013259235283,10.0,1.0,10.0,6.220000000000001,2.0131788020165744,93.78,2.013178802016572,62.33,8.007919691016998
