T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_q_range,median_q_range,sd_q_range,mean_top2_gap,median_top2_gap,sd_top2_gap,mean_q_max,mean_q_min,mean_q_sd_across_treatments
12,1,2000,1000,-12.0,0.3,0,2.1047656501205183,1.3752644966275525,1.592504078062678,0.35383738986491925,0.28128538656164936,0.21112659686809132,4.509605187804182,2.4048395376836638,0.7482411305114691
12,1,2000,1000,-12.0,0.3,1,0.8200057528284851,0.5794645993364651,0.5025153032072791,0.2043113212455319,0.14857539642609852,0.1443782121831962,3.114643045864599,2.2946372930361134,0.2808369425997006
12,1,2000,1000,-12.0,0.3,2,0.738290510814318,0.5107053401966013,0.5787838481365849,0.17708651958752045,0.14168614976309435,0.09479969624694141,2.370920541647073,1.6326300308327548,0.25183918012083867
12,1,2000,1000,-12.0,0.3,3,0.46932545442140516,0.3025392523487751,0.4169982098537964,0.09813008733481189,0.0883930664157413,0.045981039074607044,1.8408760114230924,1.3715505570016873,0.15961574344719814
12,1,2000,1000,-12.0,0.3,4,0.3395734176368265,0.16913712657632085,0.3645973032931798,0.05975939024712913,0.04969954482826067,0.032306924661030405,1.4767096489401697,1.1371362313033433,0.11550779756248904
12,1,2000,1000,-12.0,0.3,5,0.2395537867203251,0.10487756590339803,0.28926016989455144,0.0387882445738688,0.030220866378239508,0.02474122718431327,1.2156584192787623,0.9761046325584373,0.08131245238596024
12,1,2000,1000,-12.0,0.3,6,0.14490764533824024,0.06653937089891504,0.1732649536325535,0.022738134626878886,0.018927903208736385,0.014025340327262804,0.9891022012306725,0.8441945558924323,0.04921809937092504
12,1,2000,1000,-12.0,0.3,7,0.09221843864318566,0.03987997609856553,0.11531166898780039,0.01402206684945931,0.011083825669405023,0.009090999143061463,0.7892996308979905,0.6970811922548048,0.03129591221906456
12,1,2000,1000,-12.0,0.3,8,0.07474450393543164,0.03142050913153904,0.08815228852087047,0.010790354038312076,0.0072692458742575905,0.007335772128501416,0.61468474940743,0.5399402454719983,0.02543476865021907
12,1,2000,1000,-12.0,0.3,9,0.052759753689769644,0.031025391870118435,0.05457679640493789,0.0073188168740323965,0.005641025756663587,0.0045950476482798435,0.444558055752333,0.39179830206256333,0.017923829824208554
12,1,2000,1000,-12.0,0.3,10,0.042889079090876206,0.021847822808814255,0.04728072552105384,0.0055013537890920925,0.0035035616759573895,0.004530479716784541,0.29081857316711124,0.24792949407623505,0.014505253723557102
12,1,2000,1000,-12.0,0.3,11,0.023844916112841,0.008289968251518148,0.02806048988828362,0.0029597082096416536,0.0013384407663387388,0.002854330483540465,0.1454965369709945,0.1216516208581535,0.008051666008170859
12,2,2000,1000,-12.0,0.3,0,2.3130285309990377,1.5845246341574961,1.6148954352756903,0.4250274770086463,0.32945720316439386,0.23350153632841716,4.487795874692373,2.174767343693336,0.8201455997897709
12,2,2000,1000,-12.0,0.3,1,0.8909106176267522,0.6621897888929564,0.5753086790555091,0.23728396791328873,0.18141113970612732,0.15691106903180047,2.927589011703156,2.036678394076404,0.3026624856434595
12,2,2000,1000,-12.0,0.3,2,0.7027967216465059,0.47311177878790533,0.6007005653974652,0.16424697940840732,0.13344987874658853,0.09431288615869265,2.2037699954211756,1.50097327377467,0.23926819006108116
12,2,2000,1000,-12.0,0.3,3,0.5312768523968062,0.31370896984807684,0.5139543734468769,0.11006495052167366,0.0916140086902637,0.05764744408997148,1.735273777268109,1.2039969248713032,0.18076356448591419
12,2,2000,1000,-12.0,0.3,4,0.31751333047163055,0.17362340694845635,0.3384246986720324,0.05719260927990575,0.049604054352404336,0.028947837580093262,1.3870269197842817,1.0695135893126513,0.10812018763214337
12,2,2000,1000,-12.0,0.3,5,0.18231733122355345,0.10331248438345964,0.19328626118509046,0.03229957602621718,0.029940271331428514,0.014433928155054216,1.140629727477123,0.9583123962535697,0.06205378711614549
12,2,2000,1000,-12.0,0.3,6,0.14287048721610995,0.05489783136821935,0.17744975932461185,0.02165775029162011,0.016311790547785643,0.01502818605555499,0.9247928839322096,0.7819223967160998,0.04849881398929434
12,2,2000,1000,-12.0,0.3,7,0.09928613869605343,0.03646675288841639,0.128877396291085,0.01466921378378076,0.010118319815794252,0.010791589262780413,0.741641837194057,0.6423556984980037,0.03365421036679903
12,2,2000,1000,-12.0,0.3,8,0.09210610229086526,0.04675081947448945,0.10695585581535172,0.012817576065127678,0.009010353387558845,0.009491496153740838,0.5813259714131344,0.48921986912226906,0.031306713881075865
12,2,2000,1000,-12.0,0.3,9,0.06489438029277136,0.0277822484897563,0.07706899839757556,0.008686062080974449,0.005239175397689699,0.007239517480781388,0.42053612485324343,0.35564174456047215,0.02200432255641516
12,2,2000,1000,-12.0,0.3,10,0.03878658942240842,0.017218081492668735,0.045717492827326726,0.005102517057617037,0.0030425358250917856,0.004386049258391864,0.26812299247322147,0.22933640305081304,0.013132224538285466
12,2,2000,1000,-12.0,0.3,11,0.017677247225490755,0.0055781262412476496,0.021197435708431314,0.002280141635892577,0.0010645556663502476,0.002103964606977471,0.129944999718389,0.11226775249289826,0.005978766120497443
12,3,2000,1000,-12.0,0.3,0,2.261498839273996,1.7117897914613311,1.5011094728602392,0.4165318707464267,0.33359918874006667,0.2284751141667621,4.479672114356506,2.2181732750825107,0.7997364919997046
12,3,2000,1000,-12.0,0.3,1,0.822817788828437,0.5956733433197996,0.5992682584263594,0.21465099609002083,0.15771652426964167,0.16281115905616572,2.896971872695726,2.074154083867289,0.2811375333593897
12,3,2000,1000,-12.0,0.3,2,0.7284809799985811,0.4675345251449279,0.6691177123333051,0.16283740911702968,0.1290549944040833,0.09201408974847095,2.2362238607788334,1.5077428807802526,0.24887724087977348
12,3,2000,1000,-12.0,0.3,3,0.45296235276833025,0.282156162502496,0.43826921490043375,0.09177201438384827,0.07961661838030443,0.04661001717766543,1.7772785414880803,1.3243161887197503,0.15405844866809004
12,3,2000,1000,-12.0,0.3,4,0.29032147702055705,0.1746331353249293,0.29522036267468255,0.05510820464568493,0.04957657006792959,0.02455944325865691,1.4749239525083888,1.1846024754878315,0.09871914163494692
12,3,2000,1000,-12.0,0.3,5,0.17231264335836174,0.0904331380040102,0.1977012187496459,0.0299935952764122,0.02752683155550084,0.014978790924031012,1.2265693040584607,1.0542566607000985,0.058448659009320905
12,3,2000,1000,-12.0,0.3,6,0.1525414824666331,0.06123639478664389,0.19559051570046043,0.02348622573467847,0.01785828324167138,0.016401426910137212,1.0150330162055865,0.8624915337389533,0.051730699074019414
12,3,2000,1000,-12.0,0.3,7,0.10441761239338336,0.05327605079757669,0.11944332559550147,0.015888369340739974,0.012466708576102437,0.009189231686360788,0.8109941299623338,0.7065765175689506,0.035628311342335156
12,3,2000,1000,-12.0,0.3,8,0.11014073068185896,0.05039696740899802,0.1279685707362305,0.014904473984248583,0.009406948156608141,0.011804027693116855,0.6232931105932137,0.5131523799113547,0.03738720798762772
12,3,2000,1000,-12.0,0.3,9,0.07483914213709228,0.03859081834619438,0.08457178807949231,0.00979947835568031,0.0064442447939437875,0.007948293783239675,0.4480194468450626,0.3731803047079704,0.025344457967758062
12,3,2000,1000,-12.0,0.3,10,0.0414762959370707,0.025292050097693697,0.04391581340307721,0.005390325604129236,0.003927549006240927,0.00410194318361113,0.29275790895056253,0.25128161301349183,0.01403367912650317
12,3,2000,1000,-12.0,0.3,11,0.01878502684512921,0.011727601191126091,0.0195482523492238,0.0023773372231903228,0.0017195399829118552,0.0018687261247255396,0.15092496377463274,0.13213993692950357,0.0063456231934673184
12,4,2000,1000,-12.0,0.3,0,2.0569499994062688,1.3099893457136118,1.4437397894511195,0.33519819987354604,0.29845127610380584,0.13922197525899693,4.4480737203756995,2.391123720969431,0.7288388799261197
12,4,2000,1000,-12.0,0.3,1,0.9142551858104714,0.6515503887836864,0.6240893581620339,0.23308190695805292,0.17230592874806483,0.15817536244849373,3.162497821014633,2.2482426352041616,0.3124865109784291
12,4,2000,1000,-12.0,0.3,2,0.8527749440648427,0.5322457920965797,0.7558696555511641,0.1954063334502312,0.1487464101076088,0.12450959352969126,2.373402321943063,1.5206273778782202,0.29191473164622556
12,4,2000,1000,-12.0,0.3,3,0.48055772473383573,0.29773555977820476,0.4468536481603321,0.10284780061491049,0.09259776312199497,0.052941709783392805,1.800854362077353,1.320296637343517,0.16304727814838624
12,4,2000,1000,-12.0,0.3,4,0.3032728663026748,0.15743979723345403,0.32571375331654323,0.05585587909234546,0.05014364018819539,0.03047274670984766,1.4435310703694715,1.1402582040667968,0.10298109020421539
12,4,2000,1000,-12.0,0.3,5,0.25326073401734395,0.11025584819606737,0.3032030996645953,0.04062414517681113,0.03206197463149141,0.027054457038106904,1.1891481401237898,0.9358874061064459,0.08605820645742933
12,4,2000,1000,-12.0,0.3,6,0.16471252219194174,0.06387782023718502,0.2068012147761994,0.025156074831956303,0.01823100985104964,0.017819173691450717,0.9524777608726832,0.7877652386807416,0.055874925074445324
