T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
9,1,2000,1000,-12.0,0.3,0,4.117,2.0937274642834236,3.0,2,10,0.0,100.0,6.0
9,1,2000,1000,-12.0,0.3,1,7.377,2.857102384240725,9.0,2,10,0.0,100.0,49.3
9,1,2000,1000,-12.0,0.3,2,6.302,3.0417179435391524,6.0,1,10,0.1,99.9,32.9
9,1,2000,1000,-12.0,0.3,3,6.456,3.380161163241997,6.0,1,10,3.9,96.1,42.5
9,1,2000,1000,-12.0,0.3,4,7.147,3.582768095652749,10.0,1,10,8.3,91.7,58.199999999999996
9,1,2000,1000,-12.0,0.3,5,6.426,3.6921749899153147,7.0,1,10,12.4,87.6,47.4
9,1,2000,1000,-12.0,0.3,6,5.803,3.659998167566015,5.0,1,10,14.899999999999999,85.1,37.4
9,1,2000,1000,-12.0,0.3,7,5.759,3.6979174671149155,5.0,1,10,16.0,84.0,37.9
9,1,2000,1000,-12.0,0.3,8,5.619,3.712630148913654,5.0,1,10,18.2,81.8,37.1
9,2,2000,1000,-12.0,0.3,0,4.217,1.9009272801778938,3.0,2,10,0.0,100.0,4.8
9,2,2000,1000,-12.0,0.3,1,6.863,2.903560170146584,6.0,2,10,0.0,100.0,41.099999999999994
9,2,2000,1000,-12.0,0.3,2,4.895,2.880672364791469,4.0,1,10,0.7000000000000001,99.3,18.5
9,2,2000,1000,-12.0,0.3,3,5.1,3.4040545805829243,4.0,1,10,9.6,90.4,27.900000000000002
9,2,2000,1000,-12.0,0.3,4,6.253,3.7631306318213498,6.0,1,10,15.299999999999999,84.7,45.6
9,2,2000,1000,-12.0,0.3,5,5.861,3.7857642571891628,5.0,1,10,17.7,82.3,41.0
9,2,2000,1000,-12.0,0.3,6,5.541,3.729641970649358,4.0,1,10,18.2,81.8,36.4
9,2,2000,1000,-12.0,0.3,7,5.776,3.725010026791834,5.0,1,10,15.5,84.5,39.5
9,2,2000,1000,-12.0,0.3,8,6.884,3.70192493822447,10.0,1,10,11.899999999999999,88.1,55.00000000000001
9,3,2000,1000,-12.0,0.3,0,4.51,2.206528669373858,3.0,2,10,0.0,100.0,6.3
9,3,2000,1000,-12.0,0.3,1,6.546,2.9692929630975624,6.0,2,10,0.0,100.0,36.3
9,3,2000,1000,-12.0,0.3,2,5.455,3.141949529646657,4.0,1,10,2.6,97.39999999999999,26.1
9,3,2000,1000,-12.0,0.3,3,5.574,3.5720138974090347,4.0,1,10,11.0,89.0,34.8
9,3,2000,1000,-12.0,0.3,4,5.35,3.6887812495602263,4.0,1,10,18.8,81.2,32.9
9,3,2000,1000,-12.0,0.3,5,6.447,3.826726386199415,9.0,1,10,15.1,84.89999999999999,49.8
9,3,2000,1000,-12.0,0.3,6,5.373,3.6637814201033194,4.0,1,10,18.0,82.0,33.2
9,3,2000,1000,-12.0,0.3,7,5.949,3.7299210864723813,6.0,1,10,16.7,83.3,40.9
9,3,2000,1000,-12.0,0.3,8,6.551,3.5847244314241573,7.0,1,10,11.1,88.9,46.7
9,4,2000,1000,-12.0,0.3,0,4.554,1.963399841840408,4.0,2,10,0.0,100.0,5.2
9,4,2000,1000,-12.0,0.3,1,5.948,2.9144107105536428,5.0,2,10,0.0,100.0,29.5
9,4,2000,1000,-12.0,0.3,2,5.59,2.952052610407649,5.0,1,10,2.0,98.0,24.9
9,4,2000,1000,-12.0,0.3,3,5.963,3.488237205064874,5.0,1,10,10.6,89.4,36.3
9,4,2000,1000,-12.0,0.3,4,6.907,3.796678254180326,10.0,1,10,15.6,84.39999999999999,56.2
9,4,2000,1000,-12.0,0.3,5,6.069,3.6978254302918243,6.0,1,10,15.9,84.1,41.199999999999996
9,4,2000,1000,-12.0,0.3,6,6.215,3.6107911616171897,6.0,1,10,12.2,87.8,41.8
9,4,2000,1000,-12.0,0.3,7,6.055,3.5903851974218397,6.0,1,10,12.5,87.5,39.1
9,4,2000,1000,-12.0,0.3,8,6.954,3.5691207072082367,10.0,1,10,9.9,90.10000000000001,53.7
