T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
9,1,2000,1000,-12.0,0.3,0,2,8.4
9,1,2000,1000,-12.0,0.3,0,3,52.2
9,1,2000,1000,-12.0,0.3,0,4,15.3
9,1,2000,1000,-12.0,0.3,0,5,5.5
9,1,2000,1000,-12.0,0.3,0,6,3.5
9,1,2000,1000,-12.0,0.3,0,7,5.1
9,1,2000,1000,-12.0,0.3,0,8,3.1
9,1,2000,1000,-12.0,0.3,0,9,0.9
9,1,2000,1000,-12.0,0.3,0,10,6.0
9,1,2000,1000,-12.0,0.3,1,2,0.9
9,1,2000,1000,-12.0,0.3,1,3,11.9
9,1,2000,1000,-12.0,0.3,1,4,14.2
9,1,2000,1000,-12.0,0.3,1,5,7.6
9,1,2000,1000,-12.0,0.3,1,6,6.5
9,1,2000,1000,-12.0,0.3,1,7,4.5
9,1,2000,1000,-12.0,0.3,1,8,4.0
9,1,2000,1000,-12.0,0.3,1,9,1.1
9,1,2000,1000,-12.0,0.3,1,10,49.3
9,1,2000,1000,-12.0,0.3,2,1,0.1
9,1,2000,1000,-12.0,0.3,2,2,7.2
9,1,2000,1000,-12.0,0.3,2,3,20.7
9,1,2000,1000,-12.0,0.3,2,4,12.4
9,1,2000,1000,-12.0,0.3,2,5,7.8
9,1,2000,1000,-12.0,0.3,2,6,5.6
9,1,2000,1000,-12.0,0.3,2,7,6.2
9,1,2000,1000,-12.0,0.3,2,8,4.9
9,1,2000,1000,-12.0,0.3,2,9,2.2
9,1,2000,1000,-12.0,0.3,2,10,32.9
9,1,2000,1000,-12.0,0.3,3,1,3.9
9,1,2000,1000,-12.0,0.3,3,2,12.4
9,1,2000,1000,-12.0,0.3,3,3,13.0
9,1,2000,1000,-12.0,0.3,3,4,10.1
9,1,2000,1000,-12.0,0.3,3,5,7.0
9,1,2000,1000,-12.0,0.3,3,6,4.6
9,1,2000,1000,-12.0,0.3,3,7,3.2
9,1,2000,1000,-12.0,0.3,3,8,2.2
9,1,2000,1000,-12.0,0.3,3,9,1.1
9,1,2000,1000,-12.0,0.3,3,10,42.5
9,1,2000,1000,-12.0,0.3,4,1,8.3
9,1,2000,1000,-12.0,0.3,4,2,9.7
9,1,2000,1000,-12.0,0.3,4,3,9.4
9,1,2000,1000,-12.0,0.3,4,4,5.3
9,1,2000,1000,-12.0,0.3,4,5,4.0
9,1,2000,1000,-12.0,0.3,4,6,2.1
9,1,2000,1000,-12.0,0.3,4,7,1.6
9,1,2000,1000,-12.0,0.3,4,8,0.8
9,1,2000,1000,-12.0,0.3,4,9,0.6
9,1,2000,1000,-12.0,0.3,4,10,58.2
9,1,2000,1000,-12.0,0.3,5,1,12.4
9,1,2000,1000,-12.0,0.3,5,2,11.0
9,1,2000,1000,-12.0,0.3,5,3,9.4
9,1,2000,1000,-12.0,0.3,5,4,8.2
9,1,2000,1000,-12.0,0.3,5,5,3.7
9,1,2000,1000,-12.0,0.3,5,6,3.5
9,1,2000,1000,-12.0,0.3,5,7,2.2
9,1,2000,1000,-12.0,0.3,5,8,1.5
9,1,2000,1000,-12.0,0.3,5,9,0.7
9,1,2000,1000,-12.0,0.3,5,10,47.4
9,1,2000,1000,-12.0,0.3,6,1,14.9
9,1,2000,1000,-12.0,0.3,6,2,14.1
9,1,2000,1000,-12.0,0.3,6,3,9.5
9,1,2000,1000,-12.0,0.3,6,4,7.5
9,1,2000,1000,-12.0,0.3,6,5,6.0
9,1,2000,1000,-12.0,0.3,6,6,4.3
9,1,2000,1000,-12.0,0.3,6,7,3.2
9,1,2000,1000,-12.0,0.3,6,8,1.4
9,1,2000,1000,-12.0,0.3,6,9,1.7
9,1,2000,1000,-12.0,0.3,6,10,37.4
9,1,2000,1000,-12.0,0.3,7,1,16.0
9,1,2000,1000,-12.0,0.3,7,2,14.9
9,1,2000,1000,-12.0,0.3,7,3,8.9
9,1,2000,1000,-12.0,0.3,7,4,6.1
9,1,2000,1000,-12.0,0.3,7,5,6.2
9,1,2000,1000,-12.0,0.3,7,6,4.0
9,1,2000,1000,-12.0,0.3,7,7,3.7
9,1,2000,1000,-12.0,0.3,7,8,1.6
9,1,2000,1000,-12.0,0.3,7,9,0.7
9,1,2000,1000,-12.0,0.3,7,10,37.9
9,1,2000,1000,-12.0,0.3,8,1,18.2
9,1,2000,1000,-12.0,0.3,8,2,12.2
9,1,2000,1000,-12.0,0.3,8,3,11.0
9,1,2000,1000,-12.0,0.3,8,4,7.9
9,1,2000,1000,-12.0,0.3,8,5,4.8
9,1,2000,1000,-12.0,0.3,8,6,4.2
9,1,2000,1000,-12.0,0.3,8,7,2.7
9,1,2000,1000,-12.0,0.3,8,8,1.5
9,1,2000,1000,-12.0,0.3,8,9,0.4
9,1,2000,1000,-12.0,0.3,8,10,37.1
9,2,2000,1000,-12.0,0.3,0,2,3.7
9,2,2000,1000,-12.0,0.3,0,3,46.7
9,2,2000,1000,-12.0,0.3,0,4,24.1
9,2,2000,1000,-12.0,0.3,0,5,5.6
9,2,2000,1000,-12.0,0.3,0,6,8.0
9,2,2000,1000,-12.0,0.3,0,7,3.6
9,2,2000,1000,-12.0,0.3,0,8,2.9
9,2,2000,1000,-12.0,0.3,0,9,0.6
9,2,2000,1000,-12.0,0.3,0,10,4.8
9,2,2000,1000,-12.0,0.3,1,2,1.9
9,2,2000,1000,-12.0,0.3,1,3,12.5
9,2,2000,1000,-12.0,0.3,1,4,17.8
9,2,2000,1000,-12.0,0.3,1,5,12.6
9,2,2000,1000,-12.0,0.3,1,6,5.6
9,2,2000,1000,-12.0,0.3,1,7,3.7
9,2,2000,1000,-12.0,0.3,1,8,2.9
9,2,2000,1000,-12.0,0.3,1,9,1.9
9,2,2000,1000,-12.0,0.3,1,10,41.1
9,2,2000,1000,-12.0,0.3,2,1,0.7
9,2,2000,1000,-12.0,0.3,2,2,20.3
9,2,2000,1000,-12.0,0.3,2,3,25.1
9,2,2000,1000,-12.0,0.3,2,4,14.5
9,2,2000,1000,-12.0,0.3,2,5,7.1
9,2,2000,1000,-12.0,0.3,2,6,6.2
9,2,2000,1000,-12.0,0.3,2,7,4.7
9,2,2000,1000,-12.0,0.3,2,8,1.8
9,2,2000,1000,-12.0,0.3,2,9,1.1
9,2,2000,1000,-12.0,0.3,2,10,18.5
9,2,2000,1000,-12.0,0.3,3,1,9.6
9,2,2000,1000,-12.0,0.3,3,2,20.6
9,2,2000,1000,-12.0,0.3,3,3,17.8
9,2,2000,1000,-12.0,0.3,3,4,9.5
9,2,2000,1000,-12.0,0.3,3,5,6.9
9,2,2000,1000,-12.0,0.3,3,6,3.2
9,2,2000,1000,-12.0,0.3,3,7,2.0
9,2,2000,1000,-12.0,0.3,3,8,1.4
9,2,2000,1000,-12.0,0.3,3,9,1.1
9,2,2000,1000,-12.0,0.3,3,10,27.9
9,2,2000,1000,-12.0,0.3,4,1,15.3
9,2,2000,1000,-12.0,0.3,4,2,12.1
9,2,2000,1000,-12.0,0.3,4,3,7.7
9,2,2000,1000,-12.0,0.3,4,4,6.1
9,2,2000,1000,-12.0,0.3,4,5,4.7
9,2,2000,1000,-12.0,0.3,4,6,4.2
9,2,2000,1000,-12.0,0.3,4,7,1.9
9,2,2000,1000,-12.0,0.3,4,8,1.3
9,2,2000,1000,-12.0,0.3,4,9,1.1
9,2,2000,1000,-12.0,0.3,4,10,45.6
9,2,2000,1000,-12.0,0.3,5,1,17.7
9,2,2000,1000,-12.0,0.3,5,2,13.6
9,2,2000,1000,-12.0,0.3,5,3,8.3
9,2,2000,1000,-12.0,0.3,5,4,5.7
9,2,2000,1000,-12.0,0.3,5,5,5.6
9,2,2000,1000,-12.0,0.3,5,6,4.1
9,2,2000,1000,-12.0,0.3,5,7,2.0
9,2,2000,1000,-12.0,0.3,5,8,1.1
9,2,2000,1000,-12.0,0.3,5,9,0.9
9,2,2000,1000,-12.0,0.3,5,10,41.0
9,2,2000,1000,-12.0,0.3,6,1,18.2
