T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
9,-12.0,0.3,0,2,6.42,2.2250093632761785
9,-12.0,0.3,0,3,44.71,5.57881907057598
9,-12.0,0.3,0,4,19.03,4.889455775214434
9,-12.0,0.3,0,5,7.609999999999999,2.361473174854111
9,-12.0,0.3,0,6,6.32,2.318428586588578
9,-12.0,0.3,0,7,5.16,1.9178691879849945
9,-12.0,0.3,0,8,3.12,0.9449279807947741
9,-12.0,0.3,0,9,1.31,1.460935773171885
9,-12.0,0.3,0,10,6.319999999999999,2.3193868921668837
9,-12.0,0.3,1,2,3.7700000000000005,2.1695109535970953
9,-12.0,0.3,1,3,13.780000000000001,3.180775586760772
9,-12.0,0.3,1,4,15.36,3.3486979227421783
9,-12.0,0.3,1,5,11.059999999999999,1.897483713881214
9,-12.0,0.3,1,6,7.33,1.2138551991256803
9,-12.0,0.3,1,7,4.29,0.6871034209717711
9,-12.0,0.3,1,8,3.37,0.6532823109328598
9,-12.0,0.3,1,9,1.2600000000000002,0.5966573556070519
9,-12.0,0.3,1,10,39.78,5.958336829835804
9,-12.0,0.3,2,1,1.15,0.8298020417975775
9,-12.0,0.3,2,2,12.9,4.445722038594456
9,-12.0,0.3,2,3,20.009999999999998,4.698569522264788
9,-12.0,0.3,2,4,15.15,2.3085589540759934
9,-12.0,0.3,2,5,9.25,1.6043344068145176
9,-12.0,0.3,2,6,6.409999999999999,2.0738852427268006
9,-12.0,0.3,2,7,4.76,1.328491207682192
9,-12.0,0.3,2,8,3.5799999999999996,1.6294511686795377
9,-12.0,0.3,2,9,1.49,0.6505553183413554
9,-12.0,0.3,2,10,25.53,5.118170245963557
9,-12.0,0.3,3,1,6.959999999999999,3.0078416033945516
9,-12.0,0.3,3,2,14.36,3.2476316156718132
9,-12.0,0.3,3,3,13.13,2.1776899075243326
9,-12.0,0.3,3,4,9.76,1.7927012516807637
9,-12.0,0.3,3,5,7.090000000000001,1.4371654200002324
9,-12.0,0.3,3,6,4.8,1.0033277962194942
9,-12.0,0.3,3,7,3.0,0.7086763875156432
9,-12.0,0.3,3,8,1.9300000000000002,0.38600518131237566
9,-12.0,0.3,3,9,1.27,0.46439925351648303
9,-12.0,0.3,3,10,37.7,5.73120115391762
9,-12.0,0.3,4,1,12.57,4.452976532612764
9,-12.0,0.3,4,2,11.1,1.4742229591663987
9,-12.0,0.3,4,3,8.47,2.4711895471164853
9,-12.0,0.3,4,4,5.74,1.1500724614852171
9,-12.0,0.3,4,5,4.41,0.7519604008486379
9,-12.0,0.3,4,6,3.2,0.9392668535736912
9,-12.0,0.3,4,7,2.21,0.4357624225296267
9,-12.0,0.3,4,8,1.59,0.4581363212940979
9,-12.0,0.3,4,9,0.9800000000000001,0.37947331922020555
9,-12.0,0.3,4,10,49.730000000000004,7.509556874040202
9,-12.0,0.3,5,1,14.37,2.863583613431099
9,-12.0,0.3,5,2,11.2,2.396757068299673
9,-12.0,0.3,5,3,7.9,1.3216151734399342
9,-12.0,0.3,5,4,6.24,1.5714112553158492
9,-12.0,0.3,5,5,4.7299999999999995,1.2918978287774927
9,-12.0,0.3,5,6,3.41,0.5724217559340898
9,-12.0,0.3,5,7,2.29,0.5952590472502987
9,-12.0,0.3,5,8,1.4,0.3620926830400072
9,-12.0,0.3,5,9,1.03,0.41379007023153924
9,-12.0,0.3,5,10,47.43,7.115249663769909
9,-12.0,0.3,6,1,14.74,2.624330602479633
9,-12.0,0.3,6,2,12.0,2.2842455598682423
9,-12.0,0.3,6,3,9.36,1.5145222935888987
9,-12.0,0.3,6,4,6.95,1.085510632528919
9,-12.0,0.3,6,5,5.470000000000001,1.0414199707877487
9,-12.0,0.3,6,6,4.12,1.1409547658771482
9,-12.0,0.3,6,7,3.08,0.4184627953726724
9,-12.0,0.3,6,8,1.9,0.5577733510227171
9,-12.0,0.3,6,9,1.3,0.3711842908553348
9,-12.0,0.3,6,10,41.08,5.547531983784424
9,-12.0,0.3,7,1,14.180000000000001,1.660522006277946
9,-12.0,0.3,7,2,12.540000000000001,1.7551194957735632
9,-12.0,0.3,7,3,9.91,1.7854037825283857
9,-12.0,0.3,7,4,7.279999999999999,1.5368076580293901
9,-12.0,0.3,7,5,5.5200000000000005,1.0282671507606054
9,-12.0,0.3,7,6,4.12,1.0972693379476162
9,-12.0,0.3,7,7,3.0,0.8524474568362947
9,-12.0,0.3,7,8,1.48,0.45898438608156017
9,-12.0,0.3,7,9,1.04,0.33399933466334264
9,-12.0,0.3,7,10,40.93,6.35907924851459
9,-12.0,0.3,8,1,15.01,3.221266141683353
9,-12.0,0.3,8,2,11.4,1.7107503227141794
9,-12.0,0.3,8,3,10.0,1.6343534229508347
9,-12.0,0.3,8,4,7.109999999999999,1.7829127229838757
9,-12.0,0.3,8,5,5.1899999999999995,1.8970444849232655
9,-12.0,0.3,8,6,3.69,1.1957796155182145
9,-12.0,0.3,8,7,2.2700000000000005,0.9333928552448976
9,-12.0,0.3,8,8,1.42,0.5593647190240808
9,-12.0,0.3,8,9,0.82,0.5181162460726786
9,-12.0,0.3,8,10,43.09,8.315908449071173
