T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
5,1,2000,1000,-12.0,0.3,0,3.963,2.183666503704125,3.0,2,10,0.0,100.0,5.0
5,1,2000,1000,-12.0,0.3,1,6.624,2.9470848832887917,6.0,1,10,0.2,99.8,37.4
5,1,2000,1000,-12.0,0.3,2,5.316,3.1919167176372776,4.0,1,10,1.3,98.7,26.1
5,1,2000,1000,-12.0,0.3,3,5.915,3.4980010021455126,5.0,1,10,7.9,92.10000000000001,37.3
5,1,2000,1000,-12.0,0.3,4,3.76,3.0727580187580408,2.0,1,10,20.599999999999998,79.4,14.2
5,2,2000,1000,-12.0,0.3,0,4.04,2.2084558581228824,3.0,2,10,0.0,100.0,4.3999999999999995
5,2,2000,1000,-12.0,0.3,1,5.638,2.9637374613382574,4.0,2,10,0.0,100.0,25.7
5,2,2000,1000,-12.0,0.3,2,4.623,2.897804042420444,3.0,1,10,3.9,96.1,17.299999999999997
5,2,2000,1000,-12.0,0.3,3,4.983,3.4144354393324483,4.0,1,10,13.0,87.0,26.5
5,2,2000,1000,-12.0,0.3,4,4.157,3.3116941764478067,3.0,1,10,21.6,78.4,20.200000000000003
5,3,2000,1000,-12.0,0.3,0,4.488,2.7013243332027264,3.0,2,10,0.0,100.0,10.9
5,3,2000,1000,-12.0,0.3,1,5.502,2.716500575257693,4.0,2,10,0.0,100.0,22.1
5,3,2000,1000,-12.0,0.3,2,4.52,2.90241692801431,3.0,1,10,3.5000000000000004,96.5,18.0
5,3,2000,1000,-12.0,0.3,3,4.764,3.2500564405663583,4.0,1,10,11.3,88.7,21.7
5,3,2000,1000,-12.0,0.3,4,5.629,3.6865905590328234,5.0,1,10,16.8,83.2,36.4
5,4,2000,1000,-12.0,0.3,0,4.026,2.1321045635404166,3.0,2,10,0.0,100.0,5.7
5,4,2000,1000,-12.0,0.3,1,5.69,2.8432347746860414,5.0,1,10,0.6,99.4,24.6
5,4,2000,1000,-12.0,0.3,2,4.814,3.002402108049223,3.0,1,10,1.7000000000000002,98.3,20.599999999999998
5,4,2000,1000,-12.0,0.3,3,5.313,3.496749670516644,4.0,1,10,9.1,90.9,30.5
5,4,2000,1000,-12.0,0.3,4,4.828,3.465028487966935,3.0,1,10,17.5,82.5,25.7
5,5,2000,1000,-12.0,0.3,0,4.202,2.411018251488157,3.0,2,10,0.0,100.0,7.000000000000001
5,5,2000,1000,-12.0,0.3,1,5.656,2.8230539551403604,5.0,1,10,0.2,99.8,23.1
5,5,2000,1000,-12.0,0.3,2,5.143,2.938568730893696,4.0,1,10,2.0,98.0,21.4
5,5,2000,1000,-12.0,0.3,3,4.335,3.1614505799980126,3.0,1,10,13.3,86.7,17.8
5,5,2000,1000,-12.0,0.3,4,4.071,3.4140320172216625,3.0,1,10,26.5,73.5,20.9
5,6,2000,1000,-12.0,0.3,0,3.957,1.8565014402357993,3.0,2,10,0.0,100.0,2.9000000000000004
5,6,2000,1000,-12.0,0.3,1,5.416,2.849748245909639,4.0,2,10,0.0,100.0,22.5
5,6,2000,1000,-12.0,0.3,2,4.74,2.8274360106630874,4.0,1,10,2.5,97.5,17.1
5,6,2000,1000,-12.0,0.3,3,6.249,3.3841470788740033,6.0,1,10,6.1,93.89999999999999,39.5
5,6,2000,1000,-12.0,0.3,4,4.008,3.2246448384797874,3.0,1,10,15.8,84.2,19.3
5,7,2000,1000,-12.0,0.3,0,3.986,2.0952790253792437,3.0,2,10,0.0,100.0,5.800000000000001
5,7,2000,1000,-12.0,0.3,1,5.616,2.744462802822454,5.0,2,10,0.0,100.0,21.9
5,7,2000,1000,-12.0,0.3,2,5.08,2.968233550516268,4.0,1,10,3.6999999999999997,96.3,20.200000000000003
5,7,2000,1000,-12.0,0.3,3,6.143,3.5452954912277934,6.0,1,10,9.0,91.0,39.900000000000006
5,7,2000,1000,-12.0,0.3,4,5.271,3.502831544454976,4.0,1,10,13.600000000000001,86.4,29.9
5,8,2000,1000,-12.0,0.3,0,3.925,1.6947705588802418,3.0,2,10,0.0,100.0,2.8000000000000003
5,8,2000,1000,-12.0,0.3,1,5.207,2.5862791496355997,4.0,2,10,0.0,100.0,17.599999999999998
5,8,2000,1000,-12.0,0.3,2,5.586,3.1238377618503756,4.0,1,10,0.6,99.4,27.500000000000004
