T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
5,-12.0,0.3,0,2,20.79,4.888637619805521
5,-12.0,0.3,0,3,38.21,4.537363404739217
5,-12.0,0.3,0,4,11.28,5.14280511437527
5,-12.0,0.3,0,5,8.23,2.95862205163898
5,-12.0,0.3,0,6,6.590000000000001,2.5229832429971557
5,-12.0,0.3,0,7,3.88,1.489071298942174
5,-12.0,0.3,0,8,2.82,1.5533476394190995
5,-12.0,0.3,0,9,1.8,2.1129231988987307
5,-12.0,0.3,0,10,6.4,4.125799585804214
5,-12.0,0.3,1,1,0.3333333333333333,0.23094010767585027
5,-12.0,0.3,1,2,5.96,2.6969942116693124
5,-12.0,0.3,1,3,22.29,3.1575130860993905
5,-12.0,0.3,1,4,19.93,3.10342105139187
5,-12.0,0.3,1,5,10.879999999999999,1.535360978185043
5,-12.0,0.3,1,6,7.239999999999999,1.0720696494786768
5,-12.0,0.3,1,7,4.74,0.5719362823873924
5,-12.0,0.3,1,8,2.71,0.8171087238958268
5,-12.0,0.3,1,9,1.34,0.5910442735813733
5,-12.0,0.3,1,10,24.81,5.454142156807672
5,-12.0,0.3,2,1,2.52,1.0982814858779248
5,-12.0,0.3,2,2,21.490000000000002,4.286270069782247
5,-12.0,0.3,2,3,22.05,3.239427247043664
5,-12.0,0.3,2,4,13.23,2.3007486704210973
5,-12.0,0.3,2,5,8.790000000000001,1.1637582795981873
5,-12.0,0.3,2,6,5.71,1.3803783700291903
5,-12.0,0.3,2,7,3.2600000000000002,0.848789988421426
5,-12.0,0.3,2,8,1.81,0.41753243386991307
5,-12.0,0.3,2,9,0.9799999999999999,0.45898438608156017
5,-12.0,0.3,2,10,20.16,3.936495903719449
5,-12.0,0.3,3,1,10.1,2.4837248013596214
5,-12.0,0.3,3,2,19.46,5.209435883300822
5,-12.0,0.3,3,3,13.86,2.1798063114771353
5,-12.0,0.3,3,4,9.27,1.099545360592277
5,-12.0,0.3,3,5,5.970000000000001,1.1343622780125304
5,-12.0,0.3,3,6,4.4399999999999995,0.5059644256269406
5,-12.0,0.3,3,7,3.1100000000000003,1.0365005225919246
5,-12.0,0.3,3,8,2.2600000000000002,0.3949683531626299
5,-12.0,0.3,3,9,1.09,0.4228212125447088
5,-12.0,0.3,3,10,30.439999999999998,7.807290040582441
5,-12.0,0.3,4,1,19.89,4.364363260163694
5,-12.0,0.3,4,2,22.47,6.202875677189305
5,-12.0,0.3,4,3,15.66,2.411638447197257
5,-12.0,0.3,4,4,7.7,1.53405779986718
5,-12.0,0.3,4,5,4.0,1.3474255287605157
5,-12.0,0.3,4,6,3.05,0.9131751687868483
5,-12.0,0.3,4,7,1.7099999999999997,0.604520011616195
5,-12.0,0.3,4,8,1.23,0.5498484639728781
5,-12.0,0.3,4,9,1.26,0.4971027168615267
5,-12.0,0.3,4,10,23.029999999999998,6.811925816781429
