T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd
5,-12.0,0.3,0,4.119400000000001,0.28562376184997873,3.855,4.752,2.208319760303908,3.0,2.0,10.0,0.0,0.0,100.0,0.0,6.4,4.125799585804214
5,-12.0,0.3,1,5.7147,0.4026321867136032,5.207,6.624,2.811829739079815,4.6,1.7,10.0,0.1,0.19436506316151,99.9,0.19436506316150887,24.81,5.454142156807672
5,-12.0,0.3,2,4.904999999999999,0.372192602469922,4.397,5.586,2.95999820605899,3.6,1.0,10.0,2.52,1.0982814858779248,97.47999999999999,1.0982814858779284,20.16,3.9364959037194494
5,-12.0,0.3,3,5.3823,0.6708308364342764,4.335,6.249,3.4084579916983033,4.5,1.0,10.0,10.1,2.4837248013596214,89.9,2.4837248013596205,30.439999999999998,7.807290040582442
5,-12.0,0.3,4,4.4436,0.6572319394416419,3.663,5.629,3.369780089583217,3.1,1.0,10.0,19.89,4.364363260163693,80.11,4.364363260163694,23.029999999999998,6.811925816781428
