T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
5,1,2000,1000,-12.0,0.3,0,2,27.3
5,1,2000,1000,-12.0,0.3,0,3,35.5
5,1,2000,1000,-12.0,0.3,0,4,6.9
5,1,2000,1000,-12.0,0.3,0,5,6.5
5,1,2000,1000,-12.0,0.3,0,6,10.2
5,1,2000,1000,-12.0,0.3,0,7,5.5
5,1,2000,1000,-12.0,0.3,0,8,2.5
5,1,2000,1000,-12.0,0.3,0,9,0.6
5,1,2000,1000,-12.0,0.3,0,10,5.0
5,1,2000,1000,-12.0,0.3,1,1,0.2
5,1,2000,1000,-12.0,0.3,1,2,3.4
5,1,2000,1000,-12.0,0.3,1,3,16.4
5,1,2000,1000,-12.0,0.3,1,4,14.4
5,1,2000,1000,-12.0,0.3,1,5,10.9
5,1,2000,1000,-12.0,0.3,1,6,7.6
5,1,2000,1000,-12.0,0.3,1,7,4.7
5,1,2000,1000,-12.0,0.3,1,8,3.4
5,1,2000,1000,-12.0,0.3,1,9,1.6
5,1,2000,1000,-12.0,0.3,1,10,37.4
5,1,2000,1000,-12.0,0.3,2,1,1.3
5,1,2000,1000,-12.0,0.3,2,2,23.9
5,1,2000,1000,-12.0,0.3,2,3,17.8
5,1,2000,1000,-12.0,0.3,2,4,10.1
5,1,2000,1000,-12.0,0.3,2,5,8.5
5,1,2000,1000,-12.0,0.3,2,6,5.5
5,1,2000,1000,-12.0,0.3,2,7,3.4
5,1,2000,1000,-12.0,0.3,2,8,2.2
5,1,2000,1000,-12.0,0.3,2,9,1.2
5,1,2000,1000,-12.0,0.3,2,10,26.1
5,1,2000,1000,-12.0,0.3,3,1,7.9
5,1,2000,1000,-12.0,0.3,3,2,14.8
5,1,2000,1000,-12.0,0.3,3,3,14.7
5,1,2000,1000,-12.0,0.3,3,4,8.9
5,1,2000,1000,-12.0,0.3,3,5,6.2
5,1,2000,1000,-12.0,0.3,3,6,4.7
5,1,2000,1000,-12.0,0.3,3,7,2.7
5,1,2000,1000,-12.0,0.3,3,8,2.0
5,1,2000,1000,-12.0,0.3,3,9,0.8
5,1,2000,1000,-12.0,0.3,3,10,37.3
5,1,2000,1000,-12.0,0.3,4,1,20.6
5,1,2000,1000,-12.0,0.3,4,2,30.3
5,1,2000,1000,-12.0,0.3,4,3,17.9
5,1,2000,1000,-12.0,0.3,4,4,6.3
5,1,2000,1000,-12.0,0.3,4,5,2.3
5,1,2000,1000,-12.0,0.3,4,6,2.9
5,1,2000,1000,-12.0,0.3,4,7,1.2
5,1,2000,1000,-12.0,0.3,4,8,2.1
5,1,2000,1000,-12.0,0.3,4,9,2.2
5,1,2000,1000,-12.0,0.3,4,10,14.2
5,2,2000,1000,-12.0,0.3,0,2,24.7
5,2,2000,1000,-12.0,0.3,0,3,34.7
5,2,2000,1000,-12.0,0.3,0,4,11.1
5,2,2000,1000,-12.0,0.3,0,5,7.9
5,2,2000,1000,-12.0,0.3,0,6,6.4
5,2,2000,1000,-12.0,0.3,0,7,4.5
5,2,2000,1000,-12.0,0.3,0,8,4.0
5,2,2000,1000,-12.0,0.3,0,9,2.3
5,2,2000,1000,-12.0,0.3,0,10,4.4
5,2,2000,1000,-12.0,0.3,1,2,10.6
5,2,2000,1000,-12.0,0.3,1,3,21.5
5,2,2000,1000,-12.0,0.3,1,4,18.8
5,2,2000,1000,-12.0,0.3,1,5,9.3
5,2,2000,1000,-12.0,0.3,1,6,5.6
5,2,2000,1000,-12.0,0.3,1,7,4.4
5,2,2000,1000,-12.0,0.3,1,8,1.9
5,2,2000,1000,-12.0,0.3,1,9,2.2
5,2,2000,1000,-12.0,0.3,1,10,25.7
5,2,2000,1000,-12.0,0.3,2,1,3.9
5,2,2000,1000,-12.0,0.3,2,2,23.2
5,2,2000,1000,-12.0,0.3,2,3,23.0
5,2,2000,1000,-12.0,0.3,2,4,12.8
5,2,2000,1000,-12.0,0.3,2,5,8.8
5,2,2000,1000,-12.0,0.3,2,6,5.2
5,2,2000,1000,-12.0,0.3,2,7,3.4
5,2,2000,1000,-12.0,0.3,2,8,1.8
5,2,2000,1000,-12.0,0.3,2,9,0.6
5,2,2000,1000,-12.0,0.3,2,10,17.3
5,2,2000,1000,-12.0,0.3,3,1,13.0
