T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd
7,-12.0,0.3,0,4.457800000000001,0.379754540606312,3.964,5.345,2.238524969238296,3.4,2.0,10.0,0.0,0.0,100.0,0.0,7.909999999999999,4.549102475580577
7,-12.0,0.3,1,6.2483,0.5172489299704308,5.561,7.381,2.902749943189137,5.5,2.0,10.0,0.0,0.0,100.0,0.0,32.64,8.01043763542986
7,-12.0,0.3,2,5.372,0.3579562356862451,4.779,5.912,3.048644933916742,4.3,1.1,10.0,1.6,1.0934146311237818,98.4,1.093414631123786,24.56,4.046177894699584
7,-12.0,0.3,3,6.0617,0.20796583586947362,5.785,6.419,3.478466103465182,5.7,1.0,10.0,7.860000000000001,1.5529183995160707,92.14,1.55291839951607,38.03,3.045233068985762
7,-12.0,0.3,4,5.8809,0.45761372599849115,5.328,6.621,3.643975322085816,5.7,1.0,10.0,14.24,1.9602720899575818,85.76,1.9602720899575814,39.089999999999996,6.878218438584869
7,-12.0,0.3,5,5.289,0.5578576082757237,4.581,6.409,3.5442183263961295,4.7,1.0,10.0,17.41,2.098385622859207,82.59,2.0983856228592037,31.840000000000003,8.531406032354157
7,-12.0,0.3,6,5.107200000000001,0.7597149757931883,4.263,6.282,3.580148861059608,4.5,1.0,10.0,20.23,3.334016596639355,79.77000000000001,3.334016596639355,31.35,10.386770431659686
