T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
7,1,2000,1000,-12.0,0.3,0,5.345,2.8270067150551603,4.0,2,10,0.0,100.0,17.1
7,1,2000,1000,-12.0,0.3,1,5.934,2.9100020811181757,5.0,2,10,0.0,100.0,28.199999999999996
7,1,2000,1000,-12.0,0.3,2,5.287,3.173121444209109,4.0,1,10,1.4000000000000001,98.6,26.200000000000003
7,1,2000,1000,-12.0,0.3,3,5.824,3.5278136954025032,5.0,1,10,6.3,93.7,37.7
7,1,2000,1000,-12.0,0.3,4,6.382,3.6687239655683466,7.0,1,10,11.0,89.0,46.2
7,1,2000,1000,-12.0,0.3,5,4.593,3.1880267430676477,4.0,1,10,17.299999999999997,82.69999999999999,19.6
7,1,2000,1000,-12.0,0.3,6,5.554,3.7516875081967,4.0,1,10,19.1,80.9,37.6
7,2,2000,1000,-12.0,0.3,0,4.516,2.563262435708508,3.0,2,10,0.0,100.0,11.5
7,2,2000,1000,-12.0,0.3,1,6.214,2.8897326095254137,5.0,2,10,0.0,100.0,30.9
7,2,2000,1000,-12.0,0.3,2,5.912,3.0698012443283167,5.0,1,10,0.5,99.5,29.4
7,2,2000,1000,-12.0,0.3,3,6.195,3.471458774928204,6.0,1,10,6.800000000000001,93.2,39.5
7,2,2000,1000,-12.0,0.3,4,5.635,3.5499827291660697,5.0,1,10,12.9,87.1,33.800000000000004
7,2,2000,1000,-12.0,0.3,5,5.561,3.4791354361943694,5.0,1,10,14.2,85.8,32.6
7,2,2000,1000,-12.0,0.3,6,6.282,3.9714289932275313,10.0,1,10,21.099999999999998,78.9,50.3
7,3,2000,1000,-12.0,0.3,0,4.596,2.325552018810199,3.0,2,10,0.0,100.0,7.199999999999999
7,3,2000,1000,-12.0,0.3,1,6.044,2.965612729076212,5.0,2,10,0.0,100.0,30.5
7,3,2000,1000,-12.0,0.3,2,5.911,3.127436627632902,5.0,1,10,1.7999999999999998,98.2,30.599999999999998
7,3,2000,1000,-12.0,0.3,3,5.818,3.4841089269732963,5.0,1,10,9.8,90.2,33.5
7,3,2000,1000,-12.0,0.3,4,5.328,3.620707876303407,4.0,1,10,17.2,82.8,31.6
7,3,2000,1000,-12.0,0.3,5,5.078,3.6396652542731402,4.0,1,10,21.099999999999998,78.9,30.4
7,3,2000,1000,-12.0,0.3,6,6.247,3.799002951225943,7.0,1,10,16.2,83.8,46.5
