T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_q_range,median_q_range,sd_q_range,mean_top2_gap,median_top2_gap,sd_top2_gap,mean_q_max,mean_q_min,mean_q_sd_across_treatments
7,1,2000,1000,-12.0,0.3,0,1.220669460527662,0.8613949098474384,0.8545580907013478,0.21350300465019134,0.18433009421666702,0.1361352722408043,2.8960681051529304,1.6753986446252687,0.4306568250577741
7,1,2000,1000,-12.0,0.3,1,0.727859890231823,0.4911078303933909,0.5234797476975288,0.1830729538978996,0.12880961137894764,0.13086247351994806,1.971322684284383,1.24346279405256,0.24975582901744584
7,1,2000,1000,-12.0,0.3,2,0.3981626685842267,0.34283944396053023,0.19989746565387906,0.10630952143157348,0.0954439038641457,0.051417543402639695,1.291119542909144,0.892956874324917,0.13475951266409822
7,1,2000,1000,-12.0,0.3,3,0.23204279921521226,0.17575724170764917,0.16152369952183476,0.054862927376857516,0.05150194520703133,0.024900025006579774,0.8985966733808579,0.6665538741656458,0.07872416985896381
7,1,2000,1000,-12.0,0.3,4,0.1382650724551196,0.0830012974118094,0.1277505241128367,0.02832270107945651,0.025495586147855076,0.014135062552693013,0.6173375796420557,0.4790725071869363,0.04698966400804474
7,1,2000,1000,-12.0,0.3,5,0.1531237007844148,0.07859892270208851,0.15270084317416063,0.023020776637231247,0.01573048410607525,0.015418134012345713,0.3883005615862451,0.23517686080183034,0.052209427520208074
7,1,2000,1000,-12.0,0.3,6,0.05957929610899607,0.023037486289884446,0.0654068064344904,0.00854967052557819,0.004929020768466019,0.006721024657658609,0.17089418551387,0.11131488940487393,0.020227158845971822
7,2,2000,1000,-12.0,0.3,0,1.3247121623674394,1.080393307369254,0.6980650140159763,0.25491120837731135,0.22175581208922202,0.1390567100590917,2.8804192463721225,1.5557070840046827,0.46371153576161894
7,2,2000,1000,-12.0,0.3,1,0.6551180700795701,0.3803869970527167,0.49071446742174385,0.16453049390681654,0.10293042785567152,0.12535490278819242,1.8019856528452074,1.1468675827656374,0.2244496754023261
7,2,2000,1000,-12.0,0.3,2,0.37681135844843283,0.29421664393827673,0.260257590844556,0.0976471536752981,0.07893632972419073,0.060922287416973,1.1911977736471495,0.814386415198717,0.1275184850747718
7,2,2000,1000,-12.0,0.3,3,0.2552992692208884,0.16978493836393949,0.2288474163387674,0.056424289531685615,0.05312807752018078,0.032186808700863746,0.8236302238637224,0.568330954642834,0.08691336404728174
7,2,2000,1000,-12.0,0.3,4,0.16270774603851892,0.09867745117963356,0.15731654969844505,0.03142094506093566,0.027543623968925735,0.01570110845994633,0.5510551697104811,0.3883474236719621,0.0555674746284116
7,2,2000,1000,-12.0,0.3,5,0.08555419031568752,0.05134722184424023,0.0843379887694865,0.014981217937107048,0.012351933624292988,0.007780141210143028,0.3368794912822901,0.25132530096660266,0.029326573572616012
7,2,2000,1000,-12.0,0.3,6,0.034808014853237604,0.015473364085565933,0.037364346839289006,0.005794100736774724,0.004219691921071578,0.004032515391676179,0.15439908798945123,0.11959107313621364,0.011834952861828027
7,3,2000,1000,-12.0,0.3,0,1.415824875393774,0.9901333569203093,0.8900696599539276,0.23721606302682016,0.20829987650357984,0.12492358070625208,3.001871134546958,1.5860462591531834,0.5025518949550299
7,3,2000,1000,-12.0,0.3,1,0.7445793873392411,0.5151545471320376,0.5742184338832608,0.18657478528531335,0.13076336590104054,0.13735019046171565,2.01243973081263,1.2678603434733886,0.2559898908299755
7,3,2000,1000,-12.0,0.3,2,0.38822330748181333,0.2983960048179388,0.27860405798417576,0.10063624014053431,0.077812954851328,0.06199628172834295,1.2952559710355531,0.9070326635537399,0.13162571627760886
7,3,2000,1000,-12.0,0.3,3,0.28560846598549505,0.19021036761740084,0.25524452614918625,0.06281977664979937,0.05827470566894577,0.03725750175898953,0.9150113059509873,0.6294028399654923,0.09702383004476706
7,3,2000,1000,-12.0,0.3,4,0.1887300101798749,0.10108377279764968,0.19222272689924588,0.033667714195518415,0.028202504176086385,0.020018732769754122,0.6163859759492837,0.4276559657694087,0.06433435949618978
7,3,2000,1000,-12.0,0.3,5,0.09970064194731404,0.05117271146918351,0.1009287307140934,0.01608357302343513,0.012209706941533727,0.009358705481806846,0.3722301468674731,0.27252950492015904,0.03404796678568553
7,3,2000,1000,-12.0,0.3,6,0.03141783045126198,0.016063787168782456,0.03272574538996453,0.00519191936251309,0.004122828516609611,0.00288532031627193,0.17334724476754343,0.14192941431628142,0.010695110524881727
7,4,2000,1000,-12.0,0.3,0,1.558668302858419,1.0369880153034505,1.0496477563411013,0.2580248977596905,0.22466435900142512,0.12287267522637467,3.0917362076394146,1.5330679047809954,0.5533498452404854
7,4,2000,1000,-12.0,0.3,1,0.7483872172249112,0.45739625075388934,0.5558189392483762,0.18943625557918473,0.12649988294983672,0.13761314942344965,2.021748825143819,1.273361607918908,0.2566272105989572
7,4,2000,1000,-12.0,0.3,2,0.480770719264697,0.3471727028149636,0.36328823013283834,0.11914639293322443,0.09097851798168222,0.07598897466203922,1.2943014601441138,0.813530740879417,0.16388000570645728
7,4,2000,1000,-12.0,0.3,3,0.2556026288588279,0.16057305462033467,0.2413344331613216,0.054632081641250996,0.04907239718996537,0.03265592594265616,0.8647320902554027,0.6091294613965748,0.0869443884615591
7,4,2000,1000,-12.0,0.3,4,0.12878107435584726,0.08906741674800711,0.10893518633565125,0.027274206838471426,0.02668462422743001,0.01237190959209825,0.5788108595901597,0.45002978523431225,0.043799070968132695
7,4,2000,1000,-12.0,0.3,5,0.0780914826754791,0.05551168926730227,0.06306588914414779,0.01498537572815943,0.014106106782767636,0.005926600080161977,0.3599031668245924,0.28181168414911334,0.026801012724982046
7,4,2000,1000,-12.0,0.3,6,0.07050936551320106,0.040895858189196,0.06709838766562504,0.0105590845403886,0.0074728355649663625,0.006896943840733397,0.16886579443337393,0.09835642892017288,0.024001812539009387
