T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,pct_1_treatment_mean,pct_all_treatments_mean
5,-12.0,0.3,5,4.4436,0.6572319394416419,19.89,23.029999999999998
7,-12.0,0.3,7,5.107200000000001,0.7597149757931883,20.23,31.35
8,-12.0,0.3,8,5.319,0.49365777619723566,18.48,32.64
9,-12.0,0.3,9,6.0987,0.5497753177435311,15.01,43.09
10,-12.0,0.3,10,6.4879999999999995,0.459082418163304,11.370000000000001,43.589999999999996
12,-12.0,0.3,12,7.7926,0.5487679533889226,6.220000000000001,62.33
