T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage,relative_stage
5,-12.0,0.3,1,2,20.79,4.888637619805521,0.0
5,-12.0,0.3,1,3,38.21,4.537363404739217,0.0
5,-12.0,0.3,1,4,11.28,5.14280511437527,0.0
5,-12.0,0.3,1,5,8.23,2.95862205163898,0.0
5,-12.0,0.3,1,6,6.590000000000001,2.5229832429971557,0.0
5,-12.0,0.3,1,7,3.88,1.489071298942174,0.0
5,-12.0,0.3,1,8,2.82,1.5533476394190995,0.0
5,-12.0,0.3,1,9,1.8,2.1129231988987307,0.0
5,-12.0,0.3,1,10,6.4,4.125799585804214,0.0
5,-12.0,0.3,2,1,0.3333333333333333,0.23094010767585027,0.25
5,-12.0,0.3,2,2,5.96,2.6969942116693124,0.25
5,-12.0,0.3,2,3,22.29,3.1575130860993905,0.25
5,-12.0,0.3,2,4,19.93,3.10342105139187,0.25
5,-12.0,0.3,2,5,10.879999999999999,1.535360978185043,0.25
5,-12.0,0.3,2,6,7.239999999999999,1.0720696494786768,0.25
5,-12.0,0.3,2,7,4.74,0.5719362823873924,0.25
5,-12.0,0.3,2,8,2.71,0.8171087238958268,0.25
5,-12.0,0.3,2,9,1.34,0.5910442735813733,0.25
5,-12.0,0.3,2,10,24.81,5.454142156807672,0.25
5,-12.0,0.3,3,1,2.52,1.0982814858779248,0.5
5,-12.0,0.3,3,2,21.490000000000002,4.286270069782247,0.5
5,-12.0,0.3,3,3,22.05,3.239427247043664,0.5
5,-12.0,0.3,3,4,13.23,2.3007486704210973,0.5
5,-12.0,0.3,3,5,8.790000000000001,1.1637582795981873,0.5
5,-12.0,0.3,3,6,5.71,1.3803783700291903,0.5
5,-12.0,0.3,3,7,3.2600000000000002,0.848789988421426,0.5
5,-12.0,0.3,3,8,1.81,0.41753243386991307,0.5
5,-12.0,0.3,3,9,0.9799999999999999,0.45898438608156017,0.5
5,-12.0,0.3,3,10,20.16,3.936495903719449,0.5
5,-12.0,0.3,4,1,10.1,2.4837248013596214,0.75
5,-12.0,0.3,4,2,19.46,5.209435883300822,0.75
5,-12.0,0.3,4,3,13.86,2.1798063114771353,0.75
5,-12.0,0.3,4,4,9.27,1.099545360592277,0.75
5,-12.0,0.3,4,5,5.970000000000001,1.1343622780125304,0.75
5,-12.0,0.3,4,6,4.4399999999999995,0.5059644256269406,0.75
5,-12.0,0.3,4,7,3.1100000000000003,1.0365005225919246,0.75
5,-12.0,0.3,4,8,2.2600000000000002,0.3949683531626299,0.75
5,-12.0,0.3,4,9,1.09,0.4228212125447088,0.75
5,-12.0,0.3,4,10,30.439999999999998,7.807290040582441,0.75
5,-12.0,0.3,5,1,19.89,4.364363260163694,1.0
5,-12.0,0.3,5,2,22.47,6.202875677189305,1.0
5,-12.0,0.3,5,3,15.66,2.411638447197257,1.0
5,-12.0,0.3,5,4,7.7,1.53405779986718,1.0
5,-12.0,0.3,5,5,4.0,1.3474255287605157,1.0
5,-12.0,0.3,5,6,3.05,0.9131751687868483,1.0
5,-12.0,0.3,5,7,1.7099999999999997,0.604520011616195,1.0
5,-12.0,0.3,5,8,1.23,0.5498484639728781,1.0
5,-12.0,0.3,5,9,1.26,0.4971027168615267,1.0
5,-12.0,0.3,5,10,23.029999999999998,6.811925816781429,1.0
7,-12.0,0.3,1,2,8.6,3.970446378487493,0.0
7,-12.0,0.3,1,3,43.589999999999996,6.776503523204278,0.0
7,-12.0,0.3,1,4,16.009999999999998,5.0562282824694975,0.0
7,-12.0,0.3,1,5,7.090000000000001,3.621371747464396,0.0
7,-12.0,0.3,1,6,5.880000000000001,3.2013191725356664,0.0
7,-12.0,0.3,1,7,5.3100000000000005,2.4866085784100043,0.0
7,-12.0,0.3,1,8,3.72,1.8937323523196787,0.0
7,-12.0,0.3,1,9,2.0999999999999996,2.1639085008382404,0.0
7,-12.0,0.3,1,10,7.909999999999999,4.549102475580577,0.0
7,-12.0,0.3,2,2,5.3100000000000005,2.0024706961373715,0.16666666666666666
7,-12.0,0.3,2,3,17.45,3.6360081896986367,0.16666666666666666
7,-12.0,0.3,2,4,17.34,4.07054459910874,0.16666666666666666
7,-12.0,0.3,2,5,11.52,2.261661139762345,0.16666666666666666
7,-12.0,0.3,2,6,7.15,1.114799433879376,0.16666666666666666
7,-12.0,0.3,2,7,4.41,0.8143845665422582,0.16666666666666666
7,-12.0,0.3,2,8,2.8899999999999997,0.5425249610233001,0.16666666666666666
7,-12.0,0.3,2,9,1.29,0.32128215360057294,0.16666666666666666
7,-12.0,0.3,2,10,32.64,8.01043763542986,0.16666666666666666
7,-12.0,0.3,3,1,1.7777777777777777,0.9947082207584516,0.3333333333333333
7,-12.0,0.3,3,2,16.509999999999998,4.071158721216029,0.3333333333333333
7,-12.0,0.3,3,3,21.84,2.745177589883758,0.3333333333333333
7,-12.0,0.3,3,4,13.180000000000001,1.7943120006162687,0.3333333333333333
7,-12.0,0.3,3,5,8.39,1.130830569881173,0.3333333333333333
7,-12.0,0.3,3,6,5.6899999999999995,1.2251530516633422,0.3333333333333333
7,-12.0,0.3,3,7,4.45,1.7089632984811451,0.3333333333333333
7,-12.0,0.3,3,8,2.5200000000000005,0.5432413009990229,0.3333333333333333
7,-12.0,0.3,3,9,1.26,0.49035134795822116,0.3333333333333333
7,-12.0,0.3,3,10,24.56,4.046177894699582,0.3333333333333333
7,-12.0,0.3,4,1,7.859999999999999,1.5529183995160711,0.5
7,-12.0,0.3,4,2,14.27,1.996135154631458,0.5
7,-12.0,0.3,4,3,12.4,1.9430788855719567,0.5
7,-12.0,0.3,4,4,9.11,1.1318127053536728,0.5
7,-12.0,0.3,4,5,6.529999999999999,1.0360716405946284,0.5
7,-12.0,0.3,4,6,4.49,0.6226288353960703,0.5
7,-12.0,0.3,4,7,3.69,1.0846914563854348,0.5
7,-12.0,0.3,4,8,2.17,0.4191260749066642,0.5
7,-12.0,0.3,4,9,1.45,0.7397447007057382,0.5
7,-12.0,0.3,4,10,38.03,3.045233068985762,0.5
7,-12.0,0.3,5,1,14.24,1.960272089957582,0.6666666666666666
7,-12.0,0.3,5,2,12.940000000000001,1.5130543061414998,0.6666666666666666
7,-12.0,0.3,5,3,11.1,2.590152290674988,0.6666666666666666
7,-12.0,0.3,5,4,8.190000000000001,1.5307587080340985,0.6666666666666666
7,-12.0,0.3,5,5,5.43,0.9393259994982216,0.6666666666666666
7,-12.0,0.3,5,6,3.46,0.6149977416399366,0.6666666666666666
7,-12.0,0.3,5,7,2.5100000000000002,0.7062420107709381,0.6666666666666666
7,-12.0,0.3,5,8,1.83,0.47621190427978366,0.6666666666666666
7,-12.0,0.3,5,9,1.21,0.562632700396587,0.6666666666666666
7,-12.0,0.3,5,10,39.089999999999996,6.878218438584869,0.6666666666666666
7,-12.0,0.3,6,1,17.41,2.0983856228592073,0.8333333333333334
7,-12.0,0.3,6,2,13.819999999999999,1.7687409206677058,0.8333333333333334
7,-12.0,0.3,6,3,12.459999999999999,2.217706523014762,0.8333333333333334
7,-12.0,0.3,6,4,9.67,2.330498277669868,0.8333333333333334
7,-12.0,0.3,6,5,6.44,1.6833828375559072,0.8333333333333334
7,-12.0,0.3,6,6,4.16,1.3040109065665226,0.8333333333333334
7,-12.0,0.3,6,7,2.17,0.676674876797483,0.8333333333333334
7,-12.0,0.3,6,8,1.23,0.32335051500740736,0.8333333333333334
7,-12.0,0.3,6,9,0.8,0.31269438398822863,0.8333333333333334
7,-12.0,0.3,6,10,31.839999999999996,8.531406032354157,0.8333333333333334
7,-12.0,0.3,7,1,20.23,3.3340165966393553,1.0
7,-12.0,0.3,7,2,15.75,3.758028442917612,1.0
7,-12.0,0.3,7,3,11.84,2.698229872424595,1.0
7,-12.0,0.3,7,4,8.09,1.984635426917946,1.0
7,-12.0,0.3,7,5,5.3,1.574801574802362,1.0
7,-12.0,0.3,7,6,3.35,1.278236632587601,1.0
7,-12.0,0.3,7,7,2.33,0.5926400443964467,1.0
7,-12.0,0.3,7,8,1.1400000000000001,0.5853773711604051,1.0
7,-12.0,0.3,7,9,0.62,0.32930904093942587,1.0
7,-12.0,0.3,7,10,31.35,10.386770431659686,1.0
8,-12.0,0.3,1,2,6.81,2.2323131998494796,0.0
8,-12.0,0.3,1,3,44.54,6.585708432321886,0.0
8,-12.0,0.3,1,4,18.080000000000002,5.997369793871681,0.0
8,-12.0,0.3,1,5,7.159999999999999,3.3869684904875563,0.0
8,-12.0,0.3,1,6,5.0600000000000005,2.673408145254127,0.0
8,-12.0,0.3,1,7,4.65,1.8774983355518586,0.0
8,-12.0,0.3,1,8,3.5200000000000005,2.509448810662081,0.0
8,-12.0,0.3,1,9,1.52,1.3758229860301394,0.0
8,-12.0,0.3,1,10,8.66,4.036004625038645,0.0
8,-12.0,0.3,2,2,5.279999999999999,3.410050504676499,0.14285714285714285
8,-12.0,0.3,2,3,14.23,5.79234168728177,0.14285714285714285
8,-12.0,0.3,2,4,15.780000000000001,3.6859492972940124,0.14285714285714285
8,-12.0,0.3,2,5,10.940000000000001,2.23069495897579,0.14285714285714285
8,-12.0,0.3,2,6,7.140000000000001,1.2402508706798887,0.14285714285714285
8,-12.0,0.3,2,7,4.83,1.1738351199759225,0.14285714285714285
8,-12.0,0.3,2,8,2.52,0.7114929530376405,0.14285714285714285
8,-12.0,0.3,2,9,1.27,0.3334999583541537,0.14285714285714285
8,-12.0,0.3,2,10,38.010000000000005,8.656718649567964,0.14285714285714285
8,-12.0,0.3,3,1,1.0,0.754983443527075,0.2857142857142857
8,-12.0,0.3,3,2,15.170000000000002,3.328012419848619,0.2857142857142857
8,-12.0,0.3,3,3,23.43,3.7416722345912543,0.2857142857142857
8,-12.0,0.3,3,4,13.15,2.685454648037585,0.2857142857142857
8,-12.0,0.3,3,5,8.120000000000001,1.435889194115541,0.2857142857142857
8,-12.0,0.3,3,6,5.21,0.8198238293140246,0.2857142857142857
8,-12.0,0.3,3,7,4.42,1.0411532067856297,0.2857142857142857
8,-12.0,0.3,3,8,2.51,0.8006247560499238,0.2857142857142857
8,-12.0,0.3,3,9,1.29,0.4840798832148815,0.2857142857142857
8,-12.0,0.3,3,10,25.8,3.9802289158065047,0.2857142857142857
8,-12.0,0.3,4,1,6.6,2.0569664827388685,0.42857142857142855
8,-12.0,0.3,4,2,15.2,1.7682382946499786,0.42857142857142855
8,-12.0,0.3,4,3,14.55,2.172172491616016,0.42857142857142855
8,-12.0,0.3,4,4,10.379999999999999,2.060636363413551,0.42857142857142855
8,-12.0,0.3,4,5,6.63,1.2728358539541191,0.42857142857142855
8,-12.0,0.3,4,6,4.59,0.8265725752904111,0.42857142857142855
8,-12.0,0.3,4,7,2.79,0.8774331250237187,0.42857142857142855
8,-12.0,0.3,4,8,1.94,0.4671426144361295,0.42857142857142855
8,-12.0,0.3,4,9,1.1300000000000001,0.5121848624601604,0.42857142857142855
8,-12.0,0.3,4,10,36.19,5.160630883052102,0.42857142857142855
8,-12.0,0.3,5,1,13.959999999999999,2.8426122571403307,0.5714285714285714
8,-12.0,0.3,5,2,11.66,1.5514867421641447,0.5714285714285714
8,-12.0,0.3,5,3,8.83,1.0625441167311591,0.5714285714285714
8,-12.0,0.3,5,4,6.83,1.2009718287009623,0.5714285714285714
8,-12.0,0.3,5,5,4.85,1.2393994961718804,0.5714285714285714
8,-12.0,0.3,5,6,3.72,0.9874771446018946,0.5714285714285714
8,-12.0,0.3,5,7,2.79,0.38715486421958967,0.5714285714285714
8,-12.0,0.3,5,8,1.55,0.510446427703785,0.5714285714285714
8,-12.0,0.3,5,9,0.74,0.2951459149490488,0.5714285714285714
8,-12.0,0.3,5,10,45.07,5.941763673822408,0.5714285714285714
8,-12.0,0.3,6,1,16.39,2.5053054814843554,0.7142857142857143
8,-12.0,0.3,6,2,12.620000000000001,2.170918904263558,0.7142857142857143
8,-12.0,0.3,6,3,10.35,2.1649993584807876,0.7142857142857143
8,-12.0,0.3,6,4,7.95,1.399404635312222,0.7142857142857143
8,-12.0,0.3,6,5,6.359999999999999,1.3108097582113976,0.7142857142857143
8,-12.0,0.3,6,6,4.0600000000000005,0.7862710869809614,0.7142857142857143
8,-12.0,0.3,6,7,2.63,0.8459708426811569,0.7142857142857143
8,-12.0,0.3,6,8,1.6600000000000001,0.3438345855527366,0.7142857142857143
8,-12.0,0.3,6,9,1.0,0.3431876713662334,0.7142857142857143
8,-12.0,0.3,6,10,36.980000000000004,7.214460786811752,0.7142857142857143
8,-12.0,0.3,7,1,17.740000000000002,1.5334782540210847,0.8571428571428571
8,-12.0,0.3,7,2,14.3,1.6753109164172084,0.8571428571428571
8,-12.0,0.3,7,3,11.690000000000001,1.4670075361466657,0.8571428571428571
8,-12.0,0.3,7,4,9.1,1.0603982480391247,0.8571428571428571
8,-12.0,0.3,7,5,6.5200000000000005,1.1063453348751462,0.8571428571428571
8,-12.0,0.3,7,6,4.88,0.6338594306135847,0.8571428571428571
8,-12.0,0.3,7,7,2.69,0.8478076301719499,0.8571428571428571
8,-12.0,0.3,7,8,1.8399999999999999,0.46475800154489,0.8571428571428571
8,-12.0,0.3,7,9,1.04,0.37475918193480523,0.8571428571428571
8,-12.0,0.3,7,10,30.2,2.54296414970142,0.8571428571428571
8,-12.0,0.3,8,1,18.48,2.8843639776483756,1.0
8,-12.0,0.3,8,2,14.86,1.9345972879818352,1.0
8,-12.0,0.3,8,3,11.190000000000001,1.8272322725307193,1.0
8,-12.0,0.3,8,4,8.27,1.6234736421225533,1.0
8,-12.0,0.3,8,5,5.41,0.930292666016692,1.0
8,-12.0,0.3,8,6,3.9,0.8,1.0
8,-12.0,0.3,8,7,2.7399999999999998,0.8553102101317134,1.0
8,-12.0,0.3,8,8,1.5699999999999998,0.32335051500740736,1.0
8,-12.0,0.3,8,9,0.9400000000000001,0.3565264521898916,1.0
8,-12.0,0.3,8,10,32.64,6.601212009926663,1.0
9,-12.0,0.3,1,2,6.42,2.2250093632761785,0.0
9,-12.0,0.3,1,3,44.71,5.57881907057598,0.0
9,-12.0,0.3,1,4,19.03,4.889455775214434,0.0
9,-12.0,0.3,1,5,7.609999999999999,2.361473174854111,0.0
9,-12.0,0.3,1,6,6.32,2.318428586588578,0.0
9,-12.0,0.3,1,7,5.16,1.9178691879849945,0.0
9,-12.0,0.3,1,8,3.12,0.9449279807947741,0.0
9,-12.0,0.3,1,9,1.31,1.460935773171885,0.0
9,-12.0,0.3,1,10,6.319999999999999,2.3193868921668837,0.0
9,-12.0,0.3,2,2,3.7700000000000005,2.1695109535970953,0.125
9,-12.0,0.3,2,3,13.780000000000001,3.180775586760772,0.125
9,-12.0,0.3,2,4,15.36,3.3486979227421783,0.125
9,-12.0,0.3,2,5,11.059999999999999,1.897483713881214,0.125
9,-12.0,0.3,2,6,7.33,1.2138551991256803,0.125
9,-12.0,0.3,2,7,4.29,0.6871034209717711,0.125
9,-12.0,0.3,2,8,3.37,0.6532823109328598,0.125
9,-12.0,0.3,2,9,1.2600000000000002,0.5966573556070519,0.125
9,-12.0,0.3,2,10,39.78,5.958336829835804,0.125
9,-12.0,0.3,3,1,1.15,0.8298020417975775,0.25
9,-12.0,0.3,3,2,12.9,4.445722038594456,0.25
9,-12.0,0.3,3,3,20.009999999999998,4.698569522264788,0.25
9,-12.0,0.3,3,4,15.15,2.3085589540759934,0.25
9,-12.0,0.3,3,5,9.25,1.6043344068145176,0.25
9,-12.0,0.3,3,6,6.409999999999999,2.0738852427268006,0.25
9,-12.0,0.3,3,7,4.76,1.328491207682192,0.25
9,-12.0,0.3,3,8,3.5799999999999996,1.6294511686795377,0.25
9,-12.0,0.3,3,9,1.49,0.6505553183413554,0.25
9,-12.0,0.3,3,10,25.53,5.118170245963557,0.25
9,-12.0,0.3,4,1,6.959999999999999,3.0078416033945516,0.375
9,-12.0,0.3,4,2,14.36,3.2476316156718132,0.375
9,-12.0,0.3,4,3,13.13,2.1776899075243326,0.375
9,-12.0,0.3,4,4,9.76,1.7927012516807637,0.375
9,-12.0,0.3,4,5,7.090000000000001,1.4371654200002324,0.375
9,-12.0,0.3,4,6,4.8,1.0033277962194942,0.375
9,-12.0,0.3,4,7,3.0,0.7086763875156432,0.375
9,-12.0,0.3,4,8,1.9300000000000002,0.38600518131237566,0.375
9,-12.0,0.3,4,9,1.27,0.46439925351648303,0.375
9,-12.0,0.3,4,10,37.7,5.73120115391762,0.375
9,-12.0,0.3,5,1,12.57,4.452976532612764,0.5
9,-12.0,0.3,5,2,11.1,1.4742229591663987,0.5
9,-12.0,0.3,5,3,8.47,2.4711895471164853,0.5
9,-12.0,0.3,5,4,5.74,1.1500724614852171,0.5
9,-12.0,0.3,5,5,4.41,0.7519604008486379,0.5
9,-12.0,0.3,5,6,3.2,0.9392668535736912,0.5
9,-12.0,0.3,5,7,2.21,0.4357624225296267,0.5
9,-12.0,0.3,5,8,1.59,0.4581363212940979,0.5
9,-12.0,0.3,5,9,0.9800000000000001,0.37947331922020555,0.5
9,-12.0,0.3,5,10,49.730000000000004,7.509556874040202,0.5
9,-12.0,0.3,6,1,14.37,2.863583613431099,0.625
9,-12.0,0.3,6,2,11.2,2.396757068299673,0.625
